"","Sample_Size","Power"
"1",10,0.62
"2",11,0.618
"3",12,0.616
"4",13,0.614
"5",14,0.612
"6",15,0.61
"7",16,0.608
"8",17,0.606
"9",18,0.604
"10",19,0.602
"11",20,0.6
"12",21,0.577
"13",22,0.554
"14",23,0.531
"15",24,0.508
"16",25,0.485
"17",26,0.462
"18",27,0.439
"19",28,0.416
"20",29,0.393
"21",30,0.37
"22",31,0.38
"23",32,0.39
"24",33,0.4
"25",34,0.41
"26",35,0.42
"27",36,0.43
"28",37,0.44
"29",38,0.45
"30",39,0.46
"31",40,0.47
"32",41,0.455
"33",42,0.44
"34",43,0.425
"35",44,0.41
"36",45,0.395
"37",46,0.38
"38",47,0.365
"39",48,0.35
"40",49,0.335
"41",50,0.32
"42",51,0.322
"43",52,0.324
"44",53,0.326
"45",54,0.328
"46",55,0.33
"47",56,0.332
"48",57,0.334
"49",58,0.336
"50",59,0.338
"51",60,0.34
"52",61,0.334
"53",62,0.328
"54",63,0.322
"55",64,0.316
"56",65,0.31
"57",66,0.304
"58",67,0.298
"59",68,0.292
"60",69,0.286
"61",70,0.28
"62",71,0.29
"63",72,0.3
"64",73,0.31
"65",74,0.32
"66",75,0.33
"67",76,0.34
"68",77,0.35
"69",78,0.36
"70",79,0.37
"71",80,0.38
"72",81,0.371
"73",82,0.362
"74",83,0.353
"75",84,0.344
"76",85,0.335
"77",86,0.326
"78",87,0.317
"79",88,0.308
"80",89,0.299
"81",90,0.29
"82",91,0.287
"83",92,0.284
"84",93,0.281
"85",94,0.278
"86",95,0.275
"87",96,0.272
"88",97,0.269
"89",98,0.266
"90",99,0.263
"91",100,0.26
"92",101,0.258
"93",102,0.256
"94",103,0.254
"95",104,0.252
"96",105,0.25
"97",106,0.248
"98",107,0.246
"99",108,0.244
"100",109,0.242
"101",110,0.24
"102",111,0.24
"103",112,0.24
"104",113,0.24
"105",114,0.24
"106",115,0.24
"107",116,0.24
"108",117,0.24
"109",118,0.24
"110",119,0.24
"111",120,0.24
"112",121,0.234
"113",122,0.228
"114",123,0.222
"115",124,0.216
"116",125,0.21
"117",126,0.204
"118",127,0.198
"119",128,0.192
"120",129,0.186
"121",130,0.18
"122",131,0.193
"123",132,0.206
"124",133,0.219
"125",134,0.232
"126",135,0.245
"127",136,0.258
"128",137,0.271
"129",138,0.284
"130",139,0.297
"131",140,0.31
"132",141,0.301
"133",142,0.292
"134",143,0.283
"135",144,0.274
"136",145,0.265
"137",146,0.256
"138",147,0.247
"139",148,0.238
"140",149,0.229
"141",150,0.22
"142",151,0.223
"143",152,0.226
"144",153,0.229
"145",154,0.232
"146",155,0.235
"147",156,0.238
"148",157,0.241
"149",158,0.244
"150",159,0.247
"151",160,0.25
"152",161,0.25
"153",162,0.25
"154",163,0.25
"155",164,0.25
"156",165,0.25
"157",166,0.25
"158",167,0.25
"159",168,0.25
"160",169,0.25
"161",170,0.25
"162",171,0.248
"163",172,0.246
"164",173,0.244
"165",174,0.242
"166",175,0.24
"167",176,0.238
"168",177,0.236
"169",178,0.234
"170",179,0.232
"171",180,0.23
"172",181,0.236
"173",182,0.242
"174",183,0.248
"175",184,0.254
"176",185,0.26
"177",186,0.266
"178",187,0.272
"179",188,0.278
"180",189,0.284
"181",190,0.29
"182",191,0.275
"183",192,0.26
"184",193,0.245
"185",194,0.23
"186",195,0.215
"187",196,0.2
"188",197,0.185
"189",198,0.17
"190",199,0.155
"191",200,0.14
"192",201,0.148
"193",202,0.156
"194",203,0.164
"195",204,0.172
"196",205,0.18
"197",206,0.188
"198",207,0.196
"199",208,0.204
"200",209,0.212
"201",210,0.22
"202",211,0.217
"203",212,0.214
"204",213,0.211
"205",214,0.208
"206",215,0.205
"207",216,0.202
"208",217,0.199
"209",218,0.196
"210",219,0.193
"211",220,0.19
"212",221,0.192
"213",222,0.194
"214",223,0.196
"215",224,0.198
"216",225,0.2
"217",226,0.202
"218",227,0.204
"219",228,0.206
"220",229,0.208
"221",230,0.21
"222",231,0.212
"223",232,0.214
"224",233,0.216
"225",234,0.218
"226",235,0.22
"227",236,0.222
"228",237,0.224
"229",238,0.226
"230",239,0.228
"231",240,0.23
"232",241,0.222
"233",242,0.214
"234",243,0.206
"235",244,0.198
"236",245,0.19
"237",246,0.182
"238",247,0.174
"239",248,0.166
"240",249,0.158
"241",250,0.15
"242",251,0.151
"243",252,0.152
"244",253,0.153
"245",254,0.154
"246",255,0.155
"247",256,0.156
"248",257,0.157
"249",258,0.158
"250",259,0.159
"251",260,0.16
"252",261,0.167
"253",262,0.174
"254",263,0.181
"255",264,0.188
"256",265,0.195
"257",266,0.202
"258",267,0.209
"259",268,0.216
"260",269,0.223
"261",270,0.23
"262",271,0.223
"263",272,0.216
"264",273,0.209
"265",274,0.202
"266",275,0.195
"267",276,0.188
"268",277,0.181
"269",278,0.174
"270",279,0.167
"271",280,0.16
"272",281,0.16
"273",282,0.16
"274",283,0.16
"275",284,0.16
"276",285,0.16
"277",286,0.16
"278",287,0.16
"279",288,0.16
"280",289,0.16
"281",290,0.16
"282",291,0.163
"283",292,0.166
"284",293,0.169
"285",294,0.172
"286",295,0.175
"287",296,0.178
"288",297,0.181
"289",298,0.184
"290",299,0.187
"291",300,0.19
"292",301,0.194
"293",302,0.198
"294",303,0.202
"295",304,0.206
"296",305,0.21
"297",306,0.214
"298",307,0.218
"299",308,0.222
"300",309,0.226
"301",310,0.23
"302",311,0.216
"303",312,0.202
"304",313,0.188
"305",314,0.174
"306",315,0.16
"307",316,0.146
"308",317,0.132
"309",318,0.118
"310",319,0.104
"311",320,0.09
"312",321,0.096
"313",322,0.102
"314",323,0.108
"315",324,0.114
"316",325,0.12
"317",326,0.126
"318",327,0.132
"319",328,0.138
"320",329,0.144
"321",330,0.15
"322",331,0.152
"323",332,0.154
"324",333,0.156
"325",334,0.158
"326",335,0.16
"327",336,0.162
"328",337,0.164
"329",338,0.166
"330",339,0.168
"331",340,0.17
"332",341,0.172
"333",342,0.174
"334",343,0.176
"335",344,0.178
"336",345,0.18
"337",346,0.182
"338",347,0.184
"339",348,0.186
"340",349,0.188
"341",350,0.19
"342",351,0.184
"343",352,0.178
"344",353,0.172
"345",354,0.166
"346",355,0.16
"347",356,0.154
"348",357,0.148
"349",358,0.142
"350",359,0.136
"351",360,0.13
"352",361,0.134
"353",362,0.138
"354",363,0.142
"355",364,0.146
"356",365,0.15
"357",366,0.154
"358",367,0.158
"359",368,0.162
"360",369,0.166
"361",370,0.17
"362",371,0.163
"363",372,0.156
"364",373,0.149
"365",374,0.142
"366",375,0.135
"367",376,0.128
"368",377,0.121
"369",378,0.114
"370",379,0.107
"371",380,0.1
"372",381,0.104
"373",382,0.108
"374",383,0.112
"375",384,0.116
"376",385,0.12
"377",386,0.124
"378",387,0.128
"379",388,0.132
"380",389,0.136
"381",390,0.14
"382",391,0.143
"383",392,0.146
"384",393,0.149
"385",394,0.152
"386",395,0.155
"387",396,0.158
"388",397,0.161
"389",398,0.164
"390",399,0.167
"391",400,0.17
"392",401,0.162
"393",402,0.154
"394",403,0.146
"395",404,0.138
"396",405,0.13
"397",406,0.122
"398",407,0.114
"399",408,0.106
"400",409,0.098
"401",410,0.09
"402",411,0.096
"403",412,0.102
"404",413,0.108
"405",414,0.114
"406",415,0.12
"407",416,0.126
"408",417,0.132
"409",418,0.138
"410",419,0.144
"411",420,0.15
"412",421,0.152
"413",422,0.154
"414",423,0.156
"415",424,0.158
"416",425,0.16
"417",426,0.162
"418",427,0.164
"419",428,0.166
"420",429,0.168
"421",430,0.17
"422",431,0.168
"423",432,0.166
"424",433,0.164
"425",434,0.162
"426",435,0.16
"427",436,0.158
"428",437,0.156
"429",438,0.154
"430",439,0.152
"431",440,0.15
"432",441,0.145
"433",442,0.14
"434",443,0.135
"435",444,0.13
