"","Sample_Size","Power"
"1",10,0.6
"2",11,0.591
"3",12,0.582
"4",13,0.573
"5",14,0.564
"6",15,0.555
"7",16,0.546
"8",17,0.537
"9",18,0.528
"10",19,0.519
"11",20,0.51
"12",21,0.505
"13",22,0.5
"14",23,0.495
"15",24,0.49
"16",25,0.485
"17",26,0.48
"18",27,0.475
"19",28,0.47
"20",29,0.465
"21",30,0.46
"22",31,0.464
"23",32,0.468
"24",33,0.472
"25",34,0.476
"26",35,0.48
"27",36,0.484
"28",37,0.488
"29",38,0.492
"30",39,0.496
"31",40,0.5
"32",41,0.49
"33",42,0.48
"34",43,0.47
"35",44,0.46
"36",45,0.45
"37",46,0.44
"38",47,0.43
"39",48,0.42
"40",49,0.41
"41",50,0.4
"42",51,0.409
"43",52,0.418
"44",53,0.427
"45",54,0.436
"46",55,0.445
"47",56,0.454
"48",57,0.463
"49",58,0.472
"50",59,0.481
"51",60,0.49
"52",61,0.481
"53",62,0.472
"54",63,0.463
"55",64,0.454
"56",65,0.445
"57",66,0.436
"58",67,0.427
"59",68,0.418
"60",69,0.409
"61",70,0.4
"62",71,0.415
"63",72,0.43
"64",73,0.445
"65",74,0.46
"66",75,0.475
"67",76,0.49
"68",77,0.505
"69",78,0.52
"70",79,0.535
"71",80,0.55
"72",81,0.546
"73",82,0.542
"74",83,0.538
"75",84,0.534
"76",85,0.53
"77",86,0.526
"78",87,0.522
"79",88,0.518
"80",89,0.514
"81",90,0.51
"82",91,0.507
"83",92,0.504
"84",93,0.501
"85",94,0.498
"86",95,0.495
"87",96,0.492
"88",97,0.489
"89",98,0.486
"90",99,0.483
"91",100,0.48
"92",101,0.479
"93",102,0.478
"94",103,0.477
"95",104,0.476
"96",105,0.475
"97",106,0.474
"98",107,0.473
"99",108,0.472
"100",109,0.471
"101",110,0.47
"102",111,0.469
"103",112,0.468
"104",113,0.467
"105",114,0.466
"106",115,0.465
"107",116,0.464
"108",117,0.463
"109",118,0.462
"110",119,0.461
"111",120,0.46
"112",121,0.456
"113",122,0.452
"114",123,0.448
"115",124,0.444
"116",125,0.44
"117",126,0.436
"118",127,0.432
"119",128,0.428
"120",129,0.424
"121",130,0.42
"122",131,0.434
"123",132,0.448
"124",133,0.462
"125",134,0.476
"126",135,0.49
"127",136,0.504
"128",137,0.518
"129",138,0.532
"130",139,0.546
"131",140,0.56
"132",141,0.555
"133",142,0.55
"134",143,0.545
"135",144,0.54
"136",145,0.535
"137",146,0.53
"138",147,0.525
"139",148,0.52
"140",149,0.515
"141",150,0.51
"142",151,0.512
"143",152,0.514
"144",153,0.516
"145",154,0.518
"146",155,0.52
"147",156,0.522
"148",157,0.524
"149",158,0.526
"150",159,0.528
"151",160,0.53
"152",161,0.526
"153",162,0.522
"154",163,0.518
"155",164,0.514
"156",165,0.51
"157",166,0.506
"158",167,0.502
"159",168,0.498
"160",169,0.494
"161",170,0.49
"162",171,0.496
"163",172,0.502
"164",173,0.508
"165",174,0.514
"166",175,0.52
"167",176,0.526
"168",177,0.532
"169",178,0.538
"170",179,0.544
"171",180,0.55
"172",181,0.553
"173",182,0.556
"174",183,0.559
"175",184,0.562
"176",185,0.565
"177",186,0.568
"178",187,0.571
"179",188,0.574
"180",189,0.577
"181",190,0.58
"182",191,0.568
"183",192,0.556
"184",193,0.544
"185",194,0.532
"186",195,0.52
"187",196,0.508
"188",197,0.496
"189",198,0.484
"190",199,0.472
"191",200,0.46
"192",201,0.468
"193",202,0.476
"194",203,0.484
"195",204,0.492
"196",205,0.5
"197",206,0.508
"198",207,0.516
"199",208,0.524
"200",209,0.532
"201",210,0.54
"202",211,0.541
"203",212,0.542
"204",213,0.543
"205",214,0.544
"206",215,0.545
"207",216,0.546
"208",217,0.547
"209",218,0.548
"210",219,0.549
"211",220,0.55
"212",221,0.542
"213",222,0.534
"214",223,0.526
"215",224,0.518
"216",225,0.51
"217",226,0.502
"218",227,0.494
"219",228,0.486
"220",229,0.478
"221",230,0.47
"222",231,0.49
"223",232,0.51
"224",233,0.53
"225",234,0.55
"226",235,0.57
"227",236,0.59
"228",237,0.61
"229",238,0.63
"230",239,0.65
"231",240,0.67
"232",241,0.663
"233",242,0.656
"234",243,0.649
"235",244,0.642
"236",245,0.635
"237",246,0.628
"238",247,0.621
"239",248,0.614
"240",249,0.607
"241",250,0.6
"242",251,0.604
"243",252,0.608
"244",253,0.612
"245",254,0.616
"246",255,0.62
"247",256,0.624
"248",257,0.628
"249",258,0.632
"250",259,0.636
"251",260,0.64
"252",261,0.637
"253",262,0.634
"254",263,0.631
"255",264,0.628
"256",265,0.625
"257",266,0.622
"258",267,0.619
"259",268,0.616
"260",269,0.613
"261",270,0.61
"262",271,0.611
"263",272,0.612
"264",273,0.613
"265",274,0.614
"266",275,0.615
"267",276,0.616
"268",277,0.617
"269",278,0.618
"270",279,0.619
"271",280,0.62
"272",281,0.617
"273",282,0.614
"274",283,0.611
"275",284,0.608
"276",285,0.605
"277",286,0.602
"278",287,0.599
"279",288,0.596
"280",289,0.593
"281",290,0.59
"282",291,0.59
"283",292,0.59
"284",293,0.59
"285",294,0.59
"286",295,0.59
"287",296,0.59
"288",297,0.59
"289",298,0.59
"290",299,0.59
"291",300,0.59
"292",301,0.59
"293",302,0.59
"294",303,0.59
"295",304,0.59
"296",305,0.59
"297",306,0.59
"298",307,0.59
"299",308,0.59
"300",309,0.59
"301",310,0.59
"302",311,0.587
"303",312,0.584
"304",313,0.581
"305",314,0.578
"306",315,0.575
"307",316,0.572
"308",317,0.569
"309",318,0.566
"310",319,0.563
"311",320,0.56
"312",321,0.556
"313",322,0.552
"314",323,0.548
"315",324,0.544
"316",325,0.54
"317",326,0.536
"318",327,0.532
"319",328,0.528
"320",329,0.524
"321",330,0.52
"322",331,0.531
"323",332,0.542
"324",333,0.553
"325",334,0.564
"326",335,0.575
"327",336,0.586
"328",337,0.597
"329",338,0.608
"330",339,0.619
"331",340,0.63
"332",341,0.631
"333",342,0.632
"334",343,0.633
"335",344,0.634
"336",345,0.635
"337",346,0.636
"338",347,0.637
"339",348,0.638
"340",349,0.639
"341",350,0.64
"342",351,0.643
"343",352,0.646
"344",353,0.649
"345",354,0.652
"346",355,0.655
"347",356,0.658
"348",357,0.661
"349",358,0.664
"350",359,0.667
"351",360,0.67
"352",361,0.666
"353",362,0.662
"354",363,0.658
"355",364,0.654
"356",365,0.65
"357",366,0.646
"358",367,0.642
"359",368,0.638
"360",369,0.634
"361",370,0.63
"362",371,0.637
"363",372,0.644
"364",373,0.651
"365",374,0.658
"366",375,0.665
"367",376,0.672
"368",377,0.679
"369",378,0.686
"370",379,0.693
"371",380,0.7
"372",381,0.696
"373",382,0.692
"374",383,0.688
"375",384,0.684
"376",385,0.68
"377",386,0.676
"378",387,0.672
"379",388,0.668
"380",389,0.664
"381",390,0.66
"382",391,0.665
"383",392,0.67
"384",393,0.675
"385",394,0.68
"386",395,0.685
"387",396,0.69
"388",397,0.695
"389",398,0.7
"390",399,0.705
"391",400,0.71
"392",401,0.713
"393",402,0.716
"394",403,0.719
"395",404,0.722
"396",405,0.725
"397",406,0.728
"398",407,0.731
"399",408,0.734
"400",409,0.737
"401",410,0.74
"402",411,0.732
"403",412,0.724
"404",413,0.716
"405",414,0.708
"406",415,0.7
"407",416,0.692
"408",417,0.684
"409",418,0.676
"410",419,0.668
"411",420,0.66
"412",421,0.663
"413",422,0.666
"414",423,0.669
"415",424,0.672
"416",425,0.675
"417",426,0.678
"418",427,0.681
"419",428,0.684
"420",429,0.687
"421",430,0.69
"422",431,0.686
"423",432,0.682
"424",433,0.678
"425",434,0.674
"426",435,0.67
"427",436,0.666
"428",437,0.662
"429",438,0.658
"430",439,0.654
"431",440,0.65
"432",441,0.666
"433",442,0.682
"434",443,0.698
"435",444,0.714
"436",445,0.73
"437",446,0.746
"438",447,0.762
"439",448,0.778
"440",449,0.794
"441",450,0.81
"442",451,0.801
"443",452,0.792
"444",453,0.783
"445",454,0.774
"446",455,0.765
"447",456,0.756
"448",457,0.747
"449",458,0.738
"450",459,0.729
"451",460,0.72
"452",461,0.714
"453",462,0.708
"454",463,0.702
"455",464,0.696
"456",465,0.69
"457",466,0.684
"458",467,0.678
"459",468,0.672
"460",469,0.666
"461",470,0.66
"462",471,0.667
"463",472,0.674
"464",473,0.681
"465",474,0.688
"466",475,0.695
"467",476,0.702
"468",477,0.709
"469",478,0.716
"470",479,0.723
"471",480,0.73
"472",481,0.727
"473",482,0.724
"474",483,0.721
"475",484,0.718
"476",485,0.715
"477",486,0.712
"478",487,0.709
"479",488,0.706
"480",489,0.703
"481",490,0.7
"482",491,0.713
"483",492,0.726
"484",493,0.739
"485",494,0.752
"486",495,0.765
"487",496,0.778
"488",497,0.791
"489",498,0.804
"490",499,0.817
"491",500,0.83
"492",501,0.8286
"493",502,0.8272
"494",503,0.8258
"495",504,0.8244
"496",505,0.823
"497",506,0.8216
"498",507,0.8202
"499",508,0.8188
"500",509,0.8174
"501",510,0.816
"502",511,0.8146
"503",512,0.8132
"504",513,0.8118
"505",514,0.8104
"506",515,0.809
"507",516,0.8076
"508",517,0.8062
"509",518,0.8048
"510",519,0.8034
"511",520,0.802
"512",521,0.8006
"513",522,0.7992
"514",523,0.7978
"515",524,0.7964
"516",525,0.795
"517",526,0.7936
"518",527,0.7922
"519",528,0.7908
"520",529,0.7894
"521",530,0.788
"522",531,0.7866
"523",532,0.7852
"524",533,0.7838
"525",534,0.7824
"526",535,0.781
"527",536,0.7796
"528",537,0.7782
"529",538,0.7768
"530",539,0.7754
"531",540,0.774
"532",541,0.7726
"533",542,0.7712
"534",543,0.7698
"535",544,0.7684
"536",545,0.767
"537",546,0.7656
"538",547,0.7642
"539",548,0.7628
"540",549,0.7614
"541",550,0.76
"542",551,0.761
"543",552,0.762
"544",553,0.763
"545",554,0.764
"546",555,0.765
"547",556,0.766
"548",557,0.767
"549",558,0.768
"550",559,0.769
"551",560,0.77
"552",561,0.771
"553",562,0.772
"554",563,0.773
"555",564,0.774
"556",565,0.775
"557",566,0.776
"558",567,0.777
"559",568,0.778
"560",569,0.779
"561",570,0.78
"562",571,0.781
"563",572,0.782
"564",573,0.783
"565",574,0.784
"566",575,0.785
"567",576,0.786
"568",577,0.787
"569",578,0.788
"570",579,0.789
"571",580,0.79
"572",581,0.791
"573",582,0.792
"574",583,0.793
"575",584,0.794
"576",585,0.795
"577",586,0.796
"578",587,0.797
"579",588,0.798
"580",589,0.799
"581",590,0.8
"582",591,0.801
"583",592,0.802
"584",593,0.803
"585",594,0.804
"586",595,0.805
"587",596,0.806
"588",597,0.807
"589",598,0.808
"590",599,0.809
"591",600,0.81
