"","Sample_Size","Power"
"1",10,0.73
"2",11,0.71
"3",12,0.69
"4",13,0.67
"5",14,0.65
"6",15,0.63
"7",16,0.61
"8",17,0.59
"9",18,0.57
"10",19,0.55
"11",20,0.53
"12",21,0.518
"13",22,0.506
"14",23,0.494
"15",24,0.482
"16",25,0.47
"17",26,0.458
"18",27,0.446
"19",28,0.434
"20",29,0.422
"21",30,0.41
"22",31,0.413
"23",32,0.416
"24",33,0.419
"25",34,0.422
"26",35,0.425
"27",36,0.428
"28",37,0.431
"29",38,0.434
"30",39,0.437
"31",40,0.44
"32",41,0.436
"33",42,0.432
"34",43,0.428
"35",44,0.424
"36",45,0.42
"37",46,0.416
"38",47,0.412
"39",48,0.408
"40",49,0.404
"41",50,0.4
"42",51,0.397
"43",52,0.394
"44",53,0.391
"45",54,0.388
"46",55,0.385
"47",56,0.382
"48",57,0.379
"49",58,0.376
"50",59,0.373
"51",60,0.37
"52",61,0.372
"53",62,0.374
"54",63,0.376
"55",64,0.378
"56",65,0.38
"57",66,0.382
"58",67,0.384
"59",68,0.386
"60",69,0.388
"61",70,0.39
"62",71,0.386
"63",72,0.382
"64",73,0.378
"65",74,0.374
"66",75,0.37
"67",76,0.366
"68",77,0.362
"69",78,0.358
"70",79,0.354
"71",80,0.35
"72",81,0.347
"73",82,0.344
"74",83,0.341
"75",84,0.338
"76",85,0.335
"77",86,0.332
"78",87,0.329
"79",88,0.326
"80",89,0.323
"81",90,0.32
"82",91,0.321
"83",92,0.322
"84",93,0.323
"85",94,0.324
"86",95,0.325
"87",96,0.326
"88",97,0.327
"89",98,0.328
"90",99,0.329
"91",100,0.33
"92",101,0.335
"93",102,0.34
"94",103,0.345
"95",104,0.35
"96",105,0.355
"97",106,0.36
"98",107,0.365
"99",108,0.37
"100",109,0.375
"101",110,0.38
"102",111,0.378
"103",112,0.376
"104",113,0.374
"105",114,0.372
"106",115,0.37
"107",116,0.368
"108",117,0.366
"109",118,0.364
"110",119,0.362
"111",120,0.36
"112",121,0.352
"113",122,0.344
"114",123,0.336
"115",124,0.328
"116",125,0.32
"117",126,0.312
"118",127,0.304
"119",128,0.296
"120",129,0.288
"121",130,0.28
"122",131,0.285
"123",132,0.29
"124",133,0.295
"125",134,0.3
