"","Sample_Size","Power"
"1",10,0.55
"2",11,0.546
"3",12,0.542
"4",13,0.538
"5",14,0.534
"6",15,0.53
"7",16,0.526
"8",17,0.522
"9",18,0.518
"10",19,0.514
"11",20,0.51
"12",21,0.496
"13",22,0.482
"14",23,0.468
"15",24,0.454
"16",25,0.44
"17",26,0.426
"18",27,0.412
"19",28,0.398
"20",29,0.384
"21",30,0.37
"22",31,0.372
"23",32,0.374
"24",33,0.376
"25",34,0.378
"26",35,0.38
"27",36,0.382
"28",37,0.384
"29",38,0.386
"30",39,0.388
"31",40,0.39
"32",41,0.381
"33",42,0.372
"34",43,0.363
"35",44,0.354
"36",45,0.345
"37",46,0.336
"38",47,0.327
"39",48,0.318
"40",49,0.309
"41",50,0.3
"42",51,0.3
"43",52,0.3
"44",53,0.3
"45",54,0.3
"46",55,0.3
"47",56,0.3
"48",57,0.3
"49",58,0.3
"50",59,0.3
"51",60,0.3
"52",61,0.297
"53",62,0.294
"54",63,0.291
"55",64,0.288
"56",65,0.285
"57",66,0.282
"58",67,0.279
"59",68,0.276
"60",69,0.273
"61",70,0.27
"62",71,0.279
"63",72,0.288
"64",73,0.297
"65",74,0.306
"66",75,0.315
"67",76,0.324
"68",77,0.333
"69",78,0.342
"70",79,0.351
"71",80,0.36
"72",81,0.353
"73",82,0.346
"74",83,0.339
"75",84,0.332
"76",85,0.325
"77",86,0.318
"78",87,0.311
"79",88,0.304
"80",89,0.297
"81",90,0.29
"82",91,0.282
"83",92,0.274
"84",93,0.266
"85",94,0.258
"86",95,0.25
"87",96,0.242
"88",97,0.234
"89",98,0.226
"90",99,0.218
"91",100,0.21
"92",101,0.215
"93",102,0.22
"94",103,0.225
"95",104,0.23
"96",105,0.235
"97",106,0.24
"98",107,0.245
"99",108,0.25
"100",109,0.255
"101",110,0.26
"102",111,0.26
"103",112,0.26
"104",113,0.26
"105",114,0.26
"106",115,0.26
"107",116,0.26
"108",117,0.26
"109",118,0.26
"110",119,0.26
"111",120,0.26
"112",121,0.252
"113",122,0.244
"114",123,0.236
"115",124,0.228
"116",125,0.22
"117",126,0.212
"118",127,0.204
"119",128,0.196
"120",129,0.188
"121",130,0.18
"122",131,0.182
"123",132,0.184
"124",133,0.186
"125",134,0.188
"126",135,0.19
"127",136,0.192
"128",137,0.194
"129",138,0.196
"130",139,0.198
"131",140,0.2
"132",141,0.201
"133",142,0.202
"134",143,0.203
"135",144,0.204
"136",145,0.205
"137",146,0.206
"138",147,0.207
"139",148,0.208
"140",149,0.209
"141",150,0.21
"142",151,0.209
"143",152,0.208
"144",153,0.207
"145",154,0.206
"146",155,0.205
"147",156,0.204
"148",157,0.203
"149",158,0.202
"150",159,0.201
"151",160,0.2
"152",161,0.197
"153",162,0.194
"154",163,0.191
"155",164,0.188
"156",165,0.185
"157",166,0.182
"158",167,0.179
"159",168,0.176
"160",169,0.173
"161",170,0.17
"162",171,0.17
"163",172,0.17
"164",173,0.17
"165",174,0.17
"166",175,0.17
"167",176,0.17
"168",177,0.17
"169",178,0.17
"170",179,0.17
"171",180,0.17
"172",181,0.17
"173",182,0.17
"174",183,0.17
"175",184,0.17
"176",185,0.17
"177",186,0.17
"178",187,0.17
"179",188,0.17
"180",189,0.17
"181",190,0.17
"182",191,0.167
"183",192,0.164
"184",193,0.161
"185",194,0.158
"186",195,0.155
"187",196,0.152
"188",197,0.149
"189",198,0.146
"190",199,0.143
"191",200,0.14
"192",201,0.146
"193",202,0.152
"194",203,0.158
"195",204,0.164
"196",205,0.17
"197",206,0.176
"198",207,0.182
"199",208,0.188
"200",209,0.194
"201",210,0.2
"202",211,0.194
"203",212,0.188
"204",213,0.182
"205",214,0.176
"206",215,0.17
"207",216,0.164
"208",217,0.158
"209",218,0.152
"210",219,0.146
"211",220,0.14
"212",221,0.141
"213",222,0.142
"214",223,0.143
"215",224,0.144
"216",225,0.145
"217",226,0.146
"218",227,0.147
"219",228,0.148
"220",229,0.149
"221",230,0.15
"222",231,0.155
"223",232,0.16
"224",233,0.165
"225",234,0.17
"226",235,0.175
"227",236,0.18
"228",237,0.185
"229",238,0.19
"230",239,0.195
"231",240,0.2
"232",241,0.202
"233",242,0.204
"234",243,0.206
"235",244,0.208
"236",245,0.21
"237",246,0.212
"238",247,0.214
"239",248,0.216
"240",249,0.218
"241",250,0.22
"242",251,0.211
"243",252,0.202
"244",253,0.193
"245",254,0.184
"246",255,0.175
"247",256,0.166
"248",257,0.157
"249",258,0.148
"250",259,0.139
"251",260,0.13
"252",261,0.13
"253",262,0.13
"254",263,0.13
"255",264,0.13
"256",265,0.13
"257",266,0.13
"258",267,0.13
"259",268,0.13
"260",269,0.13
"261",270,0.13
"262",271,0.131
"263",272,0.132
"264",273,0.133
"265",274,0.134
"266",275,0.135
"267",276,0.136
"268",277,0.137
"269",278,0.138
"270",279,0.139
"271",280,0.14
"272",281,0.137
"273",282,0.134
"274",283,0.131
"275",284,0.128
"276",285,0.125
"277",286,0.122
"278",287,0.119
"279",288,0.116
"280",289,0.113
