"","Sample_Size","Power"
"1",10,0.62
"2",11,0.614
"3",12,0.608
"4",13,0.602
"5",14,0.596
"6",15,0.59
"7",16,0.584
"8",17,0.578
"9",18,0.572
"10",19,0.566
"11",20,0.56
"12",21,0.537
"13",22,0.514
"14",23,0.491
"15",24,0.468
"16",25,0.445
"17",26,0.422
"18",27,0.399
"19",28,0.376
"20",29,0.353
"21",30,0.33
"22",31,0.344
"23",32,0.358
"24",33,0.372
"25",34,0.386
"26",35,0.4
"27",36,0.414
"28",37,0.428
"29",38,0.442
"30",39,0.456
"31",40,0.47
"32",41,0.456
"33",42,0.442
"34",43,0.428
"35",44,0.414
"36",45,0.4
"37",46,0.386
"38",47,0.372
"39",48,0.358
"40",49,0.344
"41",50,0.33
"42",51,0.337
"43",52,0.344
"44",53,0.351
"45",54,0.358
"46",55,0.365
"47",56,0.372
"48",57,0.379
"49",58,0.386
"50",59,0.393
"51",60,0.4
"52",61,0.39
"53",62,0.38
"54",63,0.37
"55",64,0.36
"56",65,0.35
"57",66,0.34
"58",67,0.33
"59",68,0.32
"60",69,0.31
"61",70,0.3
"62",71,0.307
"63",72,0.314
"64",73,0.321
"65",74,0.328
"66",75,0.335
"67",76,0.342
"68",77,0.349
"69",78,0.356
"70",79,0.363
"71",80,0.37
"72",81,0.366
"73",82,0.362
"74",83,0.358
"75",84,0.354
"76",85,0.35
"77",86,0.346
"78",87,0.342
"79",88,0.338
"80",89,0.334
"81",90,0.33
"82",91,0.325
"83",92,0.32
"84",93,0.315
"85",94,0.31
"86",95,0.305
"87",96,0.3
"88",97,0.295
"89",98,0.29
"90",99,0.285
"91",100,0.28
"92",101,0.277
"93",102,0.274
"94",103,0.271
"95",104,0.268
"96",105,0.265
"97",106,0.262
"98",107,0.259
"99",108,0.256
"100",109,0.253
"101",110,0.25
"102",111,0.249
"103",112,0.248
"104",113,0.247
"105",114,0.246
"106",115,0.245
"107",116,0.244
"108",117,0.243
"109",118,0.242
"110",119,0.241
"111",120,0.24
"112",121,0.239
"113",122,0.238
"114",123,0.237
"115",124,0.236
"116",125,0.235
"117",126,0.234
"118",127,0.233
"119",128,0.232
"120",129,0.231
"121",130,0.23
"122",131,0.227
"123",132,0.224
"124",133,0.221
"125",134,0.218
"126",135,0.215
"127",136,0.212
"128",137,0.209
"129",138,0.206
"130",139,0.203
"131",140,0.2
"132",141,0.209
"133",142,0.218
"134",143,0.227
"135",144,0.236
"136",145,0.245
"137",146,0.254
"138",147,0.263
"139",148,0.272
"140",149,0.281
"141",150,0.29
"142",151,0.29
"143",152,0.29
"144",153,0.29
"145",154,0.29
"146",155,0.29
"147",156,0.29
"148",157,0.29
"149",158,0.29
"150",159,0.29
"151",160,0.29
"152",161,0.291
"153",162,0.292
"154",163,0.293
"155",164,0.294
"156",165,0.295
"157",166,0.296
"158",167,0.297
"159",168,0.298
"160",169,0.299
"161",170,0.3
"162",171,0.296
"163",172,0.292
"164",173,0.288
"165",174,0.284
"166",175,0.28
"167",176,0.276
"168",177,0.272
"169",178,0.268
"170",179,0.264
"171",180,0.26
"172",181,0.26
"173",182,0.26
"174",183,0.26
"175",184,0.26
"176",185,0.26
"177",186,0.26
"178",187,0.26
"179",188,0.26
"180",189,0.26
"181",190,0.26
"182",191,0.249
"183",192,0.238
"184",193,0.227
"185",194,0.216
"186",195,0.205
"187",196,0.194
"188",197,0.183
"189",198,0.172
"190",199,0.161
"191",200,0.15
"192",201,0.158
"193",202,0.166
"194",203,0.174
"195",204,0.182
"196",205,0.19
"197",206,0.198
"198",207,0.206
"199",208,0.214
"200",209,0.222
"201",210,0.23
"202",211,0.226
"203",212,0.222
"204",213,0.218
"205",214,0.214
"206",215,0.21
"207",216,0.206
"208",217,0.202
"209",218,0.198
"210",219,0.194
"211",220,0.19
"212",221,0.191
"213",222,0.192
"214",223,0.193
"215",224,0.194
"216",225,0.195
"217",226,0.196
"218",227,0.197
"219",228,0.198
"220",229,0.199
"221",230,0.2
"222",231,0.211
"223",232,0.222
"224",233,0.233
"225",234,0.244
"226",235,0.255
"227",236,0.266
"228",237,0.277
"229",238,0.288
"230",239,0.299
"231",240,0.31
"232",241,0.301
"233",242,0.292
"234",243,0.283
"235",244,0.274
"236",245,0.265
"237",246,0.256
"238",247,0.247
"239",248,0.238
"240",249,0.229
"241",250,0.22
"242",251,0.222
"243",252,0.224
"244",253,0.226
"245",254,0.228
"246",255,0.23
"247",256,0.232
"248",257,0.234
"249",258,0.236
"250",259,0.238
"251",260,0.24
"252",261,0.239
"253",262,0.238
"254",263,0.237
"255",264,0.236
"256",265,0.235
"257",266,0.234
