"","Sample_Size","Power"
"1",10,0.6
"2",11,0.586
"3",12,0.572
"4",13,0.558
"5",14,0.544
"6",15,0.53
"7",16,0.516
"8",17,0.502
"9",18,0.488
"10",19,0.474
"11",20,0.46
"12",21,0.443
"13",22,0.426
"14",23,0.409
"15",24,0.392
"16",25,0.375
"17",26,0.358
"18",27,0.341
"19",28,0.324
"20",29,0.307
"21",30,0.29
"22",31,0.292
"23",32,0.294
"24",33,0.296
"25",34,0.298
"26",35,0.3
"27",36,0.302
"28",37,0.304
"29",38,0.306
"30",39,0.308
"31",40,0.31
"32",41,0.307
"33",42,0.304
"34",43,0.301
"35",44,0.298
"36",45,0.295
"37",46,0.292
"38",47,0.289
"39",48,0.286
"40",49,0.283
"41",50,0.28
"42",51,0.28
"43",52,0.28
"44",53,0.28
"45",54,0.28
"46",55,0.28
"47",56,0.28
"48",57,0.28
"49",58,0.28
"50",59,0.28
"51",60,0.28
"52",61,0.274
"53",62,0.268
"54",63,0.262
"55",64,0.256
"56",65,0.25
"57",66,0.244
"58",67,0.238
"59",68,0.232
"60",69,0.226
"61",70,0.22
"62",71,0.231
"63",72,0.242
"64",73,0.253
"65",74,0.264
"66",75,0.275
"67",76,0.286
"68",77,0.297
"69",78,0.308
"70",79,0.319
"71",80,0.33
"72",81,0.324
"73",82,0.318
"74",83,0.312
"75",84,0.306
"76",85,0.3
"77",86,0.294
"78",87,0.288
"79",88,0.282
"80",89,0.276
"81",90,0.27
"82",91,0.261
"83",92,0.252
"84",93,0.243
"85",94,0.234
"86",95,0.225
"87",96,0.216
"88",97,0.207
"89",98,0.198
"90",99,0.189
"91",100,0.18
"92",101,0.183
"93",102,0.186
"94",103,0.189
"95",104,0.192
"96",105,0.195
"97",106,0.198
"98",107,0.201
"99",108,0.204
"100",109,0.207
"101",110,0.21
"102",111,0.207
"103",112,0.204
"104",113,0.201
"105",114,0.198
"106",115,0.195
"107",116,0.192
"108",117,0.189
"109",118,0.186
"110",119,0.183
"111",120,0.18
"112",121,0.18
"113",122,0.18
"114",123,0.18
"115",124,0.18
"116",125,0.18
"117",126,0.18
"118",127,0.18
"119",128,0.18
"120",129,0.18
"121",130,0.18
"122",131,0.18
"123",132,0.18
"124",133,0.18
"125",134,0.18
"126",135,0.18
"127",136,0.18
"128",137,0.18
"129",138,0.18
"130",139,0.18
"131",140,0.18
"132",141,0.18
"133",142,0.18
"134",143,0.18
"135",144,0.18
"136",145,0.18
"137",146,0.18
"138",147,0.18
"139",148,0.18
"140",149,0.18
"141",150,0.18
"142",151,0.176
"143",152,0.172
"144",153,0.168
"145",154,0.164
"146",155,0.16
"147",156,0.156
"148",157,0.152
"149",158,0.148
"150",159,0.144
"151",160,0.14
"152",161,0.144
"153",162,0.148
"154",163,0.152
"155",164,0.156
"156",165,0.16
"157",166,0.164
"158",167,0.168
"159",168,0.172
"160",169,0.176
"161",170,0.18
"162",171,0.179
"163",172,0.178
"164",173,0.177
"165",174,0.176
"166",175,0.175
"167",176,0.174
"168",177,0.173
"169",178,0.172
"170",179,0.171
"171",180,0.17
"172",181,0.171
"173",182,0.172
"174",183,0.173
"175",184,0.174
"176",185,0.175
"177",186,0.176
"178",187,0.177
"179",188,0.178
"180",189,0.179
"181",190,0.18
"182",191,0.172
"183",192,0.164
"184",193,0.156
"185",194,0.148
"186",195,0.14
"187",196,0.132
"188",197,0.124
"189",198,0.116
"190",199,0.108
"191",200,0.1
"192",201,0.107
"193",202,0.114
"194",203,0.121
"195",204,0.128
"196",205,0.135
"197",206,0.142
"198",207,0.149
"199",208,0.156
"200",209,0.163
"201",210,0.17
"202",211,0.16
"203",212,0.15
"204",213,0.14
"205",214,0.13
"206",215,0.12
"207",216,0.11
"208",217,0.1
"209",218,0.09
"210",219,0.08
"211",220,0.07
"212",221,0.081
"213",222,0.092
"214",223,0.103
"215",224,0.114
"216",225,0.125
"217",226,0.136
"218",227,0.147
"219",228,0.158
"220",229,0.169
"221",230,0.18
"222",231,0.176
"223",232,0.172
"224",233,0.168
"225",234,0.164
"226",235,0.16
"227",236,0.156
"228",237,0.152
"229",238,0.148
"230",239,0.144
"231",240,0.14
"232",241,0.144
"233",242,0.148
"234",243,0.152
"235",244,0.156
"236",245,0.16
"237",246,0.164
"238",247,0.168
"239",248,0.172
"240",249,0.176
"241",250,0.18
"242",251,0.175
"243",252,0.17
"244",253,0.165
"245",254,0.16
"246",255,0.155
"247",256,0.15
"248",257,0.145
"249",258,0.14
"250",259,0.135
"251",260,0.13
"252",261,0.132
"253",262,0.134
"254",263,0.136
"255",264,0.138
"256",265,0.14
"257",266,0.142
"258",267,0.144
"259",268,0.146
"260",269,0.148
"261",270,0.15
"262",271,0.15
"263",272,0.15
"264",273,0.15
"265",274,0.15
"266",275,0.15
"267",276,0.15
"268",277,0.15
"269",278,0.15
"270",279,0.15
"271",280,0.15
"272",281,0.149
"273",282,0.148
"274",283,0.147
"275",284,0.146
"276",285,0.145
"277",286,0.144
"278",287,0.143
"279",288,0.142
"280",289,0.141
"281",290,0.14
"282",291,0.136
"283",292,0.132
"284",293,0.128
"285",294,0.124
"286",295,0.12
"287",296,0.116
"288",297,0.112
"289",298,0.108
"290",299,0.104
"291",300,0.1
"292",301,0.1
"293",302,0.1
"294",303,0.1
"295",304,0.1
"296",305,0.1
"297",306,0.1
"298",307,0.1
"299",308,0.1
"300",309,0.1
"301",310,0.1
"302",311,0.099
"303",312,0.098
"304",313,0.097
"305",314,0.096
"306",315,0.095
"307",316,0.094
"308",317,0.093
"309",318,0.092
"310",319,0.091
"311",320,0.09
"312",321,0.089
"313",322,0.088
"314",323,0.087
"315",324,0.086
"316",325,0.085
"317",326,0.084
"318",327,0.083
"319",328,0.082
"320",329,0.081
"321",330,0.08
"322",331,0.083
"323",332,0.086
"324",333,0.089
"325",334,0.092
"326",335,0.095
"327",336,0.098
"328",337,0.101
"329",338,0.104
"330",339,0.107
"331",340,0.11
"332",341,0.113
"333",342,0.116
"334",343,0.119
"335",344,0.122
"336",345,0.125
"337",346,0.128
"338",347,0.131
"339",348,0.134
"340",349,0.137
"341",350,0.14
"342",351,0.132
"343",352,0.124
"344",353,0.116
"345",354,0.108
"346",355,0.1
"347",356,0.092
"348",357,0.084
"349",358,0.076
"350",359,0.068
"351",360,0.06
"352",361,0.068
"353",362,0.076
"354",363,0.084
"355",364,0.092
"356",365,0.1
"357",366,0.108
"358",367,0.116
"359",368,0.124
"360",369,0.132
"361",370,0.14
"362",371,0.136
"363",372,0.132
"364",373,0.128
"365",374,0.124
"366",375,0.12
"367",376,0.116
"368",377,0.112
"369",378,0.108
"370",379,0.104
"371",380,0.1
"372",381,0.1
"373",382,0.1
"374",383,0.1
"375",384,0.1
"376",385,0.1
"377",386,0.1
"378",387,0.1
"379",388,0.1
"380",389,0.1
"381",390,0.1
"382",391,0.102
"383",392,0.104
