"","Sample_Size","Power"
"1",10,0.55
"2",11,0.546
"3",12,0.542
"4",13,0.538
"5",14,0.534
"6",15,0.53
"7",16,0.526
"8",17,0.522
"9",18,0.518
"10",19,0.514
"11",20,0.51
"12",21,0.492
"13",22,0.474
"14",23,0.456
"15",24,0.438
"16",25,0.42
"17",26,0.402
"18",27,0.384
"19",28,0.366
"20",29,0.348
"21",30,0.33
"22",31,0.333
"23",32,0.336
"24",33,0.339
"25",34,0.342
"26",35,0.345
"27",36,0.348
"28",37,0.351
"29",38,0.354
"30",39,0.357
"31",40,0.36
"32",41,0.344
"33",42,0.328
"34",43,0.312
"35",44,0.296
"36",45,0.28
"37",46,0.264
"38",47,0.248
"39",48,0.232
"40",49,0.216
"41",50,0.2
"42",51,0.205
"43",52,0.21
"44",53,0.215
"45",54,0.22
"46",55,0.225
"47",56,0.23
"48",57,0.235
"49",58,0.24
"50",59,0.245
"51",60,0.25
"52",61,0.247
"53",62,0.244
"54",63,0.241
"55",64,0.238
"56",65,0.235
"57",66,0.232
"58",67,0.229
"59",68,0.226
"60",69,0.223
"61",70,0.22
"62",71,0.226
"63",72,0.232
"64",73,0.238
"65",74,0.244
"66",75,0.25
"67",76,0.256
"68",77,0.262
"69",78,0.268
"70",79,0.274
"71",80,0.28
"72",81,0.278
"73",82,0.276
"74",83,0.274
"75",84,0.272
"76",85,0.27
"77",86,0.268
"78",87,0.266
"79",88,0.264
"80",89,0.262
"81",90,0.26
"82",91,0.251
"83",92,0.242
"84",93,0.233
"85",94,0.224
"86",95,0.215
"87",96,0.206
"88",97,0.197
"89",98,0.188
"90",99,0.179
"91",100,0.17
"92",101,0.177
"93",102,0.184
"94",103,0.191
"95",104,0.198
"96",105,0.205
"97",106,0.212
"98",107,0.219
"99",108,0.226
"100",109,0.233
"101",110,0.24
"102",111,0.234
"103",112,0.228
"104",113,0.222
"105",114,0.216
"106",115,0.21
"107",116,0.204
"108",117,0.198
"109",118,0.192
"110",119,0.186
"111",120,0.18
"112",121,0.179
"113",122,0.178
"114",123,0.177
"115",124,0.176
"116",125,0.175
"117",126,0.174
"118",127,0.173
"119",128,0.172
"120",129,0.171
"121",130,0.17
"122",131,0.181
"123",132,0.192
"124",133,0.203
"125",134,0.214
"126",135,0.225
"127",136,0.236
"128",137,0.247
"129",138,0.258
"130",139,0.269
"131",140,0.28
"132",141,0.273
"133",142,0.266
"134",143,0.259
"135",144,0.252
"136",145,0.245
"137",146,0.238
"138",147,0.231
"139",148,0.224
"140",149,0.217
"141",150,0.21
"142",151,0.207
"143",152,0.204
"144",153,0.201
"145",154,0.198
"146",155,0.195
"147",156,0.192
"148",157,0.189
"149",158,0.186
"150",159,0.183
"151",160,0.18
"152",161,0.178
"153",162,0.176
"154",163,0.174
"155",164,0.172
"156",165,0.17
"157",166,0.168
"158",167,0.166
"159",168,0.164
"160",169,0.162
"161",170,0.16
"162",171,0.161
"163",172,0.162
"164",173,0.163
"165",174,0.164
"166",175,0.165
"167",176,0.166
"168",177,0.167
"169",178,0.168
"170",179,0.169
"171",180,0.17
"172",181,0.173
"173",182,0.176
"174",183,0.179
"175",184,0.182
"176",185,0.185
"177",186,0.188
"178",187,0.191
"179",188,0.194
"180",189,0.197
"181",190,0.2
"182",191,0.193
"183",192,0.186
"184",193,0.179
"185",194,0.172
"186",195,0.165
"187",196,0.158
"188",197,0.151
"189",198,0.144
"190",199,0.137
"191",200,0.13
"192",201,0.128
"193",202,0.126
"194",203,0.124
"195",204,0.122
"196",205,0.12
"197",206,0.118
"198",207,0.116
"199",208,0.114
"200",209,0.112
"201",210,0.11
"202",211,0.111
"203",212,0.112
"204",213,0.113
"205",214,0.114
"206",215,0.115
"207",216,0.116
"208",217,0.117
"209",218,0.118
"210",219,0.119
"211",220,0.12
"212",221,0.125
"213",222,0.13
"214",223,0.135
"215",224,0.14
"216",225,0.145
"217",226,0.15
"218",227,0.155
"219",228,0.16
"220",229,0.165
"221",230,0.17
"222",231,0.178
"223",232,0.186
"224",233,0.194
"225",234,0.202
"226",235,0.21
"227",236,0.218
"228",237,0.226
"229",238,0.234
"230",239,0.242
"231",240,0.25
"232",241,0.235
"233",242,0.22
"234",243,0.205
"235",244,0.19
"236",245,0.175
"237",246,0.16
"238",247,0.145
"239",248,0.13
"240",249,0.115
"241",250,0.1
"242",251,0.104
"243",252,0.108
"244",253,0.112
"245",254,0.116
"246",255,0.12
"247",256,0.124
"248",257,0.128
"249",258,0.132
"250",259,0.136
"251",260,0.14
"252",261,0.141
"253",262,0.142
"254",263,0.143
"255",264,0.144
"256",265,0.145
"257",266,0.146
"258",267,0.147
"259",268,0.148
"260",269,0.149
"261",270,0.15
"262",271,0.15
"263",272,0.15
"264",273,0.15
"265",274,0.15
"266",275,0.15
"267",276,0.15
"268",277,0.15
"269",278,0.15
"270",279,0.15
"271",280,0.15
"272",281,0.15
"273",282,0.15
"274",283,0.15
"275",284,0.15
"276",285,0.15
"277",286,0.15
"278",287,0.15
"279",288,0.15
"280",289,0.15
