"","Sample_Size","Power"
"1",10,0.56
"2",11,0.56
"3",12,0.56
"4",13,0.56
"5",14,0.56
"6",15,0.56
"7",16,0.56
"8",17,0.56
"9",18,0.56
"10",19,0.56
"11",20,0.56
"12",21,0.549
"13",22,0.538
"14",23,0.527
"15",24,0.516
"16",25,0.505
"17",26,0.494
"18",27,0.483
"19",28,0.472
"20",29,0.461
"21",30,0.45
"22",31,0.451
"23",32,0.452
"24",33,0.453
"25",34,0.454
"26",35,0.455
"27",36,0.456
"28",37,0.457
"29",38,0.458
"30",39,0.459
"31",40,0.46
"32",41,0.453
"33",42,0.446
"34",43,0.439
"35",44,0.432
"36",45,0.425
"37",46,0.418
"38",47,0.411
"39",48,0.404
"40",49,0.397
"41",50,0.39
"42",51,0.395
"43",52,0.4
"44",53,0.405
"45",54,0.41
"46",55,0.415
"47",56,0.42
"48",57,0.425
"49",58,0.43
"50",59,0.435
"51",60,0.44
"52",61,0.432
"53",62,0.424
"54",63,0.416
"55",64,0.408
"56",65,0.4
"57",66,0.392
"58",67,0.384
"59",68,0.376
"60",69,0.368
"61",70,0.36
"62",71,0.36
"63",72,0.36
"64",73,0.36
"65",74,0.36
"66",75,0.36
"67",76,0.36
"68",77,0.36
"69",78,0.36
"70",79,0.36
"71",80,0.36
"72",81,0.359
"73",82,0.358
"74",83,0.357
"75",84,0.356
"76",85,0.355
"77",86,0.354
"78",87,0.353
"79",88,0.352
"80",89,0.351
"81",90,0.35
"82",91,0.35
"83",92,0.35
"84",93,0.35
"85",94,0.35
"86",95,0.35
"87",96,0.35
"88",97,0.35
"89",98,0.35
"90",99,0.35
"91",100,0.35
"92",101,0.346
"93",102,0.342
"94",103,0.338
"95",104,0.334
"96",105,0.33
"97",106,0.326
"98",107,0.322
"99",108,0.318
"100",109,0.314
"101",110,0.31
"102",111,0.308
"103",112,0.306
"104",113,0.304
"105",114,0.302
"106",115,0.3
"107",116,0.298
"108",117,0.296
"109",118,0.294
"110",119,0.292
"111",120,0.29
"112",121,0.285
"113",122,0.28
"114",123,0.275
"115",124,0.27
"116",125,0.265
"117",126,0.26
"118",127,0.255
"119",128,0.25
"120",129,0.245
"121",130,0.24
"122",131,0.239
"123",132,0.238
"124",133,0.237
"125",134,0.236
"126",135,0.235
"127",136,0.234
"128",137,0.233
"129",138,0.232
"130",139,0.231
"131",140,0.23
"132",141,0.233
"133",142,0.236
"134",143,0.239
"135",144,0.242
"136",145,0.245
"137",146,0.248
"138",147,0.251
"139",148,0.254
"140",149,0.257
"141",150,0.26
"142",151,0.256
"143",152,0.252
"144",153,0.248
"145",154,0.244
"146",155,0.24
"147",156,0.236
"148",157,0.232
"149",158,0.228
"150",159,0.224
"151",160,0.22
"152",161,0.233
"153",162,0.246
"154",163,0.259
"155",164,0.272
"156",165,0.285
"157",166,0.298
"158",167,0.311
"159",168,0.324
"160",169,0.337
"161",170,0.35
"162",171,0.338
"163",172,0.326
"164",173,0.314
"165",174,0.302
"166",175,0.29
"167",176,0.278
"168",177,0.266
"169",178,0.254
"170",179,0.242
"171",180,0.23
"172",181,0.232
"173",182,0.234
"174",183,0.236
"175",184,0.238
"176",185,0.24
"177",186,0.242
"178",187,0.244
"179",188,0.246
"180",189,0.248
"181",190,0.25
"182",191,0.244
"183",192,0.238
"184",193,0.232
"185",194,0.226
"186",195,0.22
"187",196,0.214
"188",197,0.208
"189",198,0.202
"190",199,0.196
"191",200,0.19
"192",201,0.196
"193",202,0.202
"194",203,0.208
"195",204,0.214
"196",205,0.22
"197",206,0.226
"198",207,0.232
"199",208,0.238
"200",209,0.244
"201",210,0.25
"202",211,0.247
"203",212,0.244
"204",213,0.241
"205",214,0.238
"206",215,0.235
"207",216,0.232
"208",217,0.229
"209",218,0.226
"210",219,0.223
"211",220,0.22
"212",221,0.219
"213",222,0.218
"214",223,0.217
"215",224,0.216
"216",225,0.215
"217",226,0.214
"218",227,0.213
"219",228,0.212
"220",229,0.211
"221",230,0.21
"222",231,0.219
"223",232,0.228
"224",233,0.237
"225",234,0.246
"226",235,0.255
"227",236,0.264
"228",237,0.273
"229",238,0.282
"230",239,0.291
"231",240,0.3
"232",241,0.288
"233",242,0.276
"234",243,0.264
"235",244,0.252
"236",245,0.24
"237",246,0.228
"238",247,0.216
"239",248,0.204
"240",249,0.192
"241",250,0.18
"242",251,0.181
"243",252,0.182
"244",253,0.183
"245",254,0.184
"246",255,0.185
"247",256,0.186
"248",257,0.187
"249",258,0.188
"250",259,0.189
"251",260,0.19
"252",261,0.195
"253",262,0.2
"254",263,0.205
"255",264,0.21
"256",265,0.215
"257",266,0.22
"258",267,0.225
"259",268,0.23
"260",269,0.235
"261",270,0.24
"262",271,0.234
"263",272,0.228
"264",273,0.222
"265",274,0.216
"266",275,0.21
"267",276,0.204
"268",277,0.198
"269",278,0.192
"270",279,0.186
"271",280,0.18
"272",281,0.181
"273",282,0.182
"274",283,0.183
"275",284,0.184
"276",285,0.185
"277",286,0.186
"278",287,0.187
"279",288,0.188
"280",289,0.189
"281",290,0.19
"282",291,0.189
"283",292,0.188
"284",293,0.187
"285",294,0.186
"286",295,0.185
"287",296,0.184
"288",297,0.183
"289",298,0.182
"290",299,0.181
"291",300,0.18
"292",301,0.175
"293",302,0.17
"294",303,0.165
"295",304,0.16
"296",305,0.155
"297",306,0.15
"298",307,0.145
"299",308,0.14
"300",309,0.135
"301",310,0.13
"302",311,0.136
"303",312,0.142
"304",313,0.148
"305",314,0.154
"306",315,0.16
"307",316,0.166
"308",317,0.172
"309",318,0.178
"310",319,0.184
"311",320,0.19
"312",321,0.19
"313",322,0.19
"314",323,0.19
"315",324,0.19
"316",325,0.19
"317",326,0.19
"318",327,0.19
"319",328,0.19
"320",329,0.19
"321",330,0.19
"322",331,0.186
"323",332,0.182
"324",333,0.178
"325",334,0.174
"326",335,0.17
"327",336,0.166
"328",337,0.162
"329",338,0.158
"330",339,0.154
"331",340,0.15
"332",341,0.158
"333",342,0.166
"334",343,0.174
"335",344,0.182
"336",345,0.19
"337",346,0.198
"338",347,0.206
"339",348,0.214
"340",349,0.222
"341",350,0.23
"342",351,0.23
"343",352,0.23
"344",353,0.23
"345",354,0.23
"346",355,0.23
"347",356,0.23
"348",357,0.23
"349",358,0.23
"350",359,0.23
"351",360,0.23
"352",361,0.228
"353",362,0.226
"354",363,0.224
"355",364,0.222
"356",365,0.22
"357",366,0.218
"358",367,0.216
"359",368,0.214
"360",369,0.212
"361",370,0.21
"362",371,0.209
"363",372,0.208
"364",373,0.207
"365",374,0.206
"366",375,0.205
"367",376,0.204
"368",377,0.203
"369",378,0.202
"370",379,0.201
"371",380,0.2
"372",381,0.195
"373",382,0.19
"374",383,0.185
"375",384,0.18
"376",385,0.175
"377",386,0.17
"378",387,0.165
"379",388,0.16
"380",389,0.155
"381",390,0.15
"382",391,0.154
"383",392,0.158
"384",393,0.162
"385",394,0.166
"386",395,0.17
"387",396,0.174
"388",397,0.178
"389",398,0.182
"390",399,0.186
"391",400,0.19
"392",401,0.181
"393",402,0.172
"394",403,0.163
"395",404,0.154
"396",405,0.145
"397",406,0.136
"398",407,0.127
"399",408,0.118
"400",409,0.109
"401",410,0.1
"402",411,0.107
"403",412,0.114
"404",413,0.121
"405",414,0.128
"406",415,0.135
"407",416,0.142
"408",417,0.149
"409",418,0.156
"410",419,0.163
"411",420,0.17
"412",421,0.166
"413",422,0.162
"414",423,0.158
"415",424,0.154
"416",425,0.15
"417",426,0.146
"418",427,0.142
"419",428,0.138
"420",429,0.134
"421",430,0.13
"422",431,0.13
"423",432,0.13
"424",433,0.13
"425",434,0.13
"426",435,0.13
"427",436,0.13
"428",437,0.13
"429",438,0.13
"430",439,0.13
"431",440,0.13
"432",441,0.13
"433",442,0.13
"434",443,0.13
"435",444,0.13
"436",445,0.13
"437",446,0.13
"438",447,0.13
"439",448,0.13
"440",449,0.13
"441",450,0.13
"442",451,0.141
"443",452,0.152
"444",453,0.163
"445",454,0.174
"446",455,0.185
"447",456,0.196
"448",457,0.207
"449",458,0.218
"450",459,0.229
"451",460,0.24
"452",461,0.227
"453",462,0.214
"454",463,0.201
"455",464,0.188
"456",465,0.175
"457",466,0.162
"458",467,0.149
"459",468,0.136
"460",469,0.123
"461",470,0.11
"462",471,0.113
"463",472,0.116
"464",473,0.119
"465",474,0.122
"466",475,0.125
"467",476,0.128
"468",477,0.131
"469",478,0.134
"470",479,0.137
"471",480,0.14
"472",481,0.139
"473",482,0.138
"474",483,0.137
"475",484,0.136
"476",485,0.135
"477",486,0.134
"478",487,0.133
"479",488,0.132
"480",489,0.131
"481",490,0.13
"482",491,0.131
"483",492,0.132
"484",493,0.133
"485",494,0.134
"486",495,0.135
"487",496,0.136
"488",497,0.137
"489",498,0.138
"490",499,0.139
"491",500,0.14
"492",501,0.1402
"493",502,0.1404
"494",503,0.1406
"495",504,0.1408
"496",505,0.141
"497",506,0.1412
"498",507,0.1414
"499",508,0.1416
"500",509,0.1418
"501",510,0.142
"502",511,0.1422
"503",512,0.1424
"504",513,0.1426
"505",514,0.1428
"506",515,0.143
"507",516,0.1432
"508",517,0.1434
"509",518,0.1436
"510",519,0.1438
"511",520,0.144
"512",521,0.1442
"513",522,0.1444
"514",523,0.1446
"515",524,0.1448
"516",525,0.145
"517",526,0.1452
"518",527,0.1454
"519",528,0.1456
"520",529,0.1458
"521",530,0.146
"522",531,0.1462
"523",532,0.1464
"524",533,0.1466
"525",534,0.1468
"526",535,0.147
"527",536,0.1472
"528",537,0.1474
"529",538,0.1476
"530",539,0.1478
"531",540,0.148
"532",541,0.1482
"533",542,0.1484
"534",543,0.1486
"535",544,0.1488
"536",545,0.149
"537",546,0.1492
"538",547,0.1494
"539",548,0.1496
"540",549,0.1498
"541",550,0.15
"542",551,0.1484
"543",552,0.1468
"544",553,0.1452
"545",554,0.1436
"546",555,0.142
"547",556,0.1404
"548",557,0.1388
