"","Sample_Size","Power"
"1",10,0.7
"2",11,0.681
"3",12,0.662
"4",13,0.643
"5",14,0.624
"6",15,0.605
"7",16,0.586
"8",17,0.567
"9",18,0.548
"10",19,0.529
"11",20,0.51
"12",21,0.504
"13",22,0.498
"14",23,0.492
"15",24,0.486
"16",25,0.48
"17",26,0.474
"18",27,0.468
"19",28,0.462
"20",29,0.456
"21",30,0.45
"22",31,0.447
"23",32,0.444
"24",33,0.441
"25",34,0.438
"26",35,0.435
"27",36,0.432
"28",37,0.429
"29",38,0.426
"30",39,0.423
"31",40,0.42
"32",41,0.412
"33",42,0.404
"34",43,0.396
"35",44,0.388
"36",45,0.38
"37",46,0.372
"38",47,0.364
"39",48,0.356
"40",49,0.348
"41",50,0.34
"42",51,0.342
"43",52,0.344
"44",53,0.346
"45",54,0.348
"46",55,0.35
"47",56,0.352
"48",57,0.354
"49",58,0.356
"50",59,0.358
"51",60,0.36
"52",61,0.357
"53",62,0.354
"54",63,0.351
"55",64,0.348
"56",65,0.345
"57",66,0.342
"58",67,0.339
"59",68,0.336
"60",69,0.333
"61",70,0.33
"62",71,0.328
"63",72,0.326
"64",73,0.324
"65",74,0.322
"66",75,0.32
"67",76,0.318
"68",77,0.316
"69",78,0.314
"70",79,0.312
"71",80,0.31
"72",81,0.313
"73",82,0.316
"74",83,0.319
"75",84,0.322
"76",85,0.325
"77",86,0.328
"78",87,0.331
"79",88,0.334
"80",89,0.337
"81",90,0.34
"82",91,0.331
"83",92,0.322
"84",93,0.313
"85",94,0.304
"86",95,0.295
"87",96,0.286
"88",97,0.277
"89",98,0.268
"90",99,0.259
"91",100,0.25
"92",101,0.258
"93",102,0.266
"94",103,0.274
"95",104,0.282
"96",105,0.29
"97",106,0.298
"98",107,0.306
"99",108,0.314
"100",109,0.322
"101",110,0.33
"102",111,0.33
"103",112,0.33
"104",113,0.33
"105",114,0.33
"106",115,0.33
"107",116,0.33
"108",117,0.33
"109",118,0.33
"110",119,0.33
"111",120,0.33
"112",121,0.324
"113",122,0.318
"114",123,0.312
"115",124,0.306
"116",125,0.3
"117",126,0.294
"118",127,0.288
"119",128,0.282
"120",129,0.276
"121",130,0.27
"122",131,0.261
"123",132,0.252
"124",133,0.243
"125",134,0.234
"126",135,0.225
"127",136,0.216
"128",137,0.207
"129",138,0.198
"130",139,0.189
"131",140,0.18
"132",141,0.183
"133",142,0.186
"134",143,0.189
"135",144,0.192
"136",145,0.195
"137",146,0.198
"138",147,0.201
"139",148,0.204
"140",149,0.207
"141",150,0.21
"142",151,0.212
"143",152,0.214
"144",153,0.216
"145",154,0.218
"146",155,0.22
