"","Sample_Size","Power"
"1",10,0.73
"2",11,0.713
"3",12,0.696
"4",13,0.679
"5",14,0.662
"6",15,0.645
"7",16,0.628
"8",17,0.611
"9",18,0.594
"10",19,0.577
"11",20,0.56
"12",21,0.543
"13",22,0.526
"14",23,0.509
"15",24,0.492
"16",25,0.475
"17",26,0.458
"18",27,0.441
"19",28,0.424
"20",29,0.407
"21",30,0.39
"22",31,0.398
"23",32,0.406
"24",33,0.414
"25",34,0.422
"26",35,0.43
"27",36,0.438
"28",37,0.446
"29",38,0.454
"30",39,0.462
"31",40,0.47
"32",41,0.465
"33",42,0.46
"34",43,0.455
"35",44,0.45
"36",45,0.445
"37",46,0.44
"38",47,0.435
"39",48,0.43
"40",49,0.425
"41",50,0.42
"42",51,0.418
"43",52,0.416
"44",53,0.414
"45",54,0.412
"46",55,0.41
"47",56,0.408
"48",57,0.406
"49",58,0.404
"50",59,0.402
"51",60,0.4
"52",61,0.397
"53",62,0.394
"54",63,0.391
"55",64,0.388
"56",65,0.385
"57",66,0.382
"58",67,0.379
"59",68,0.376
"60",69,0.373
"61",70,0.37
"62",71,0.371
"63",72,0.372
"64",73,0.373
"65",74,0.374
"66",75,0.375
"67",76,0.376
"68",77,0.377
"69",78,0.378
"70",79,0.379
"71",80,0.38
"72",81,0.384
"73",82,0.388
"74",83,0.392
"75",84,0.396
"76",85,0.4
"77",86,0.404
"78",87,0.408
"79",88,0.412
"80",89,0.416
"81",90,0.42
"82",91,0.423
"83",92,0.426
"84",93,0.429
"85",94,0.432
"86",95,0.435
"87",96,0.438
"88",97,0.441
"89",98,0.444
"90",99,0.447
"91",100,0.45
"92",101,0.445
"93",102,0.44
"94",103,0.435
"95",104,0.43
"96",105,0.425
"97",106,0.42
"98",107,0.415
"99",108,0.41
"100",109,0.405
"101",110,0.4
"102",111,0.39
"103",112,0.38
"104",113,0.37
"105",114,0.36
"106",115,0.35
"107",116,0.34
"108",117,0.33
"109",118,0.32
"110",119,0.31
"111",120,0.3
"112",121,0.307
"113",122,0.314
"114",123,0.321
"115",124,0.328
"116",125,0.335
"117",126,0.342
"118",127,0.349
"119",128,0.356
"120",129,0.363
"121",130,0.37
"122",131,0.37
"123",132,0.37
"124",133,0.37
"125",134,0.37
"126",135,0.37
"127",136,0.37
"128",137,0.37
"129",138,0.37
"130",139,0.37
"131",140,0.37
"132",141,0.364
"133",142,0.358
"134",143,0.352
"135",144,0.346
"136",145,0.34
"137",146,0.334
"138",147,0.328
"139",148,0.322
"140",149,0.316
"141",150,0.31
"142",151,0.325
"143",152,0.34
"144",153,0.355
"145",154,0.37
"146",155,0.385
"147",156,0.4
"148",157,0.415
"149",158,0.43
"150",159,0.445
"151",160,0.46
"152",161,0.452
"153",162,0.444
"154",163,0.436
"155",164,0.428
"156",165,0.42
"157",166,0.412
"158",167,0.404
"159",168,0.396
"160",169,0.388
"161",170,0.38
"162",171,0.392
"163",172,0.404
"164",173,0.416
"165",174,0.428
"166",175,0.44
"167",176,0.452
"168",177,0.464
"169",178,0.476
"170",179,0.488
"171",180,0.5
"172",181,0.486
"173",182,0.472
"174",183,0.458
"175",184,0.444
"176",185,0.43
"177",186,0.416
"178",187,0.402
"179",188,0.388
"180",189,0.374
"181",190,0.36
"182",191,0.368
"183",192,0.376
"184",193,0.384
"185",194,0.392
"186",195,0.4
"187",196,0.408
"188",197,0.416
"189",198,0.424
"190",199,0.432
"191",200,0.44
"192",201,0.435
"193",202,0.43
"194",203,0.425
"195",204,0.42
"196",205,0.415
"197",206,0.41
"198",207,0.405
"199",208,0.4
"200",209,0.395
"201",210,0.39
"202",211,0.39
"203",212,0.39
"204",213,0.39
"205",214,0.39
"206",215,0.39
"207",216,0.39
"208",217,0.39
"209",218,0.39
"210",219,0.39
"211",220,0.39
"212",221,0.392
"213",222,0.394
"214",223,0.396
"215",224,0.398
"216",225,0.4
"217",226,0.402
"218",227,0.404
"219",228,0.406
"220",229,0.408
"221",230,0.41
"222",231,0.415
"223",232,0.42
"224",233,0.425
"225",234,0.43
"226",235,0.435
"227",236,0.44
"228",237,0.445
"229",238,0.45
"230",239,0.455
"231",240,0.46
"232",241,0.456
"233",242,0.452
"234",243,0.448
"235",244,0.444
"236",245,0.44
"237",246,0.436
"238",247,0.432
"239",248,0.428
"240",249,0.424
"241",250,0.42
"242",251,0.422
"243",252,0.424
"244",253,0.426
"245",254,0.428
"246",255,0.43
"247",256,0.432
"248",257,0.434
"249",258,0.436
"250",259,0.438
"251",260,0.44
"252",261,0.441
"253",262,0.442
"254",263,0.443
"255",264,0.444
"256",265,0.445
"257",266,0.446
"258",267,0.447
"259",268,0.448
"260",269,0.449
"261",270,0.45
"262",271,0.448
"263",272,0.446
"264",273,0.444
"265",274,0.442
"266",275,0.44
"267",276,0.438
"268",277,0.436
"269",278,0.434
"270",279,0.432
"271",280,0.43
"272",281,0.424
"273",282,0.418
"274",283,0.412
"275",284,0.406
"276",285,0.4
"277",286,0.394
"278",287,0.388
"279",288,0.382
"280",289,0.376
"281",290,0.37
"282",291,0.375
"283",292,0.38
"284",293,0.385
"285",294,0.39
"286",295,0.395
"287",296,0.4
"288",297,0.405
"289",298,0.41
"290",299,0.415
"291",300,0.42
"292",301,0.415
"293",302,0.41
"294",303,0.405
"295",304,0.4
"296",305,0.395
"297",306,0.39
"298",307,0.385
"299",308,0.38
"300",309,0.375
"301",310,0.37
"302",311,0.376
"303",312,0.382
"304",313,0.388
"305",314,0.394
"306",315,0.4
"307",316,0.406
"308",317,0.412
"309",318,0.418
"310",319,0.424
"311",320,0.43
"312",321,0.422
"313",322,0.414
"314",323,0.406
"315",324,0.398
"316",325,0.39
"317",326,0.382
"318",327,0.374
"319",328,0.366
"320",329,0.358
"321",330,0.35
"322",331,0.355
"323",332,0.36
"324",333,0.365
"325",334,0.37
"326",335,0.375
"327",336,0.38
"328",337,0.385
"329",338,0.39
"330",339,0.395
"331",340,0.4
"332",341,0.405
"333",342,0.41
"334",343,0.415
"335",344,0.42
"336",345,0.425
"337",346,0.43
"338",347,0.435
"339",348,0.44
"340",349,0.445
"341",350,0.45
"342",351,0.446
"343",352,0.442
"344",353,0.438
"345",354,0.434
"346",355,0.43
"347",356,0.426
"348",357,0.422
"349",358,0.418
"350",359,0.414
"351",360,0.41
"352",361,0.411
"353",362,0.412
"354",363,0.413
"355",364,0.414
"356",365,0.415
"357",366,0.416
"358",367,0.417
"359",368,0.418
"360",369,0.419
"361",370,0.42
"362",371,0.421
"363",372,0.422
"364",373,0.423
"365",374,0.424
"366",375,0.425
"367",376,0.426
"368",377,0.427
"369",378,0.428
"370",379,0.429
"371",380,0.43
"372",381,0.437
"373",382,0.444
"374",383,0.451
"375",384,0.458
"376",385,0.465
"377",386,0.472
"378",387,0.479
"379",388,0.486
"380",389,0.493
"381",390,0.5
"382",391,0.498
"383",392,0.496
"384",393,0.494
"385",394,0.492
"386",395,0.49
"387",396,0.488
"388",397,0.486
"389",398,0.484
"390",399,0.482
"391",400,0.48
"392",401,0.482
"393",402,0.484
"394",403,0.486
"395",404,0.488
"396",405,0.49
"397",406,0.492
"398",407,0.494
"399",408,0.496
"400",409,0.498
"401",410,0.5
"402",411,0.495
"403",412,0.49
"404",413,0.485
"405",414,0.48
"406",415,0.475
"407",416,0.47
"408",417,0.465
"409",418,0.46
"410",419,0.455
"411",420,0.45
"412",421,0.443
"413",422,0.436
"414",423,0.429
"415",424,0.422
"416",425,0.415
"417",426,0.408
"418",427,0.401
"419",428,0.394
"420",429,0.387
"421",430,0.38
"422",431,0.387
"423",432,0.394
"424",433,0.401
"425",434,0.408
"426",435,0.415
"427",436,0.422
"428",437,0.429
"429",438,0.436
"430",439,0.443
"431",440,0.45
"432",441,0.458
"433",442,0.466
"434",443,0.474
"435",444,0.482
"436",445,0.49
"437",446,0.498
"438",447,0.506
"439",448,0.514
"440",449,0.522
"441",450,0.53
"442",451,0.53
"443",452,0.53
"444",453,0.53
"445",454,0.53
"446",455,0.53
"447",456,0.53
"448",457,0.53
"449",458,0.53
"450",459,0.53
"451",460,0.53
"452",461,0.523
"453",462,0.516
"454",463,0.509
"455",464,0.502
"456",465,0.495
"457",466,0.488
"458",467,0.481
"459",468,0.474
"460",469,0.467
"461",470,0.46
"462",471,0.454
"463",472,0.448
"464",473,0.442
"465",474,0.436
"466",475,0.43
"467",476,0.424
"468",477,0.418
"469",478,0.412
"470",479,0.406
"471",480,0.4
"472",481,0.406
"473",482,0.412
"474",483,0.418
"475",484,0.424
"476",485,0.43
"477",486,0.436
"478",487,0.442
"479",488,0.448
"480",489,0.454
"481",490,0.46
"482",491,0.462
"483",492,0.464
"484",493,0.466
"485",494,0.468
"486",495,0.47
"487",496,0.472
"488",497,0.474
"489",498,0.476
"490",499,0.478
"491",500,0.48
"492",501,0.4796
"493",502,0.4792
"494",503,0.4788
"495",504,0.4784
"496",505,0.478
"497",506,0.4776
"498",507,0.4772
"499",508,0.4768
"500",509,0.4764
"501",510,0.476
"502",511,0.4756
"503",512,0.4752
"504",513,0.4748
"505",514,0.4744
"506",515,0.474
"507",516,0.4736
"508",517,0.4732
"509",518,0.4728
"510",519,0.4724
"511",520,0.472
"512",521,0.4716
"513",522,0.4712
"514",523,0.4708
"515",524,0.4704
"516",525,0.47
"517",526,0.4696
"518",527,0.4692
"519",528,0.4688
"520",529,0.4684
"521",530,0.468
"522",531,0.4676
"523",532,0.4672
"524",533,0.4668
"525",534,0.4664
"526",535,0.466
"527",536,0.4656
"528",537,0.4652
"529",538,0.4648
"530",539,0.4644
"531",540,0.464
"532",541,0.4636
"533",542,0.4632
"534",543,0.4628
"535",544,0.4624
"536",545,0.462
"537",546,0.4616
"538",547,0.4612
"539",548,0.4608
"540",549,0.4604
"541",550,0.46
"542",551,0.4606
"543",552,0.4612
"544",553,0.4618
"545",554,0.4624
"546",555,0.463
"547",556,0.4636
"548",557,0.4642
"549",558,0.4648
"550",559,0.4654
"551",560,0.466
"552",561,0.4666
"553",562,0.4672
"554",563,0.4678
"555",564,0.4684
"556",565,0.469
"557",566,0.4696
"558",567,0.4702
"559",568,0.4708
"560",569,0.4714
"561",570,0.472
"562",571,0.4726
"563",572,0.4732
"564",573,0.4738
"565",574,0.4744
"566",575,0.475
"567",576,0.4756
"568",577,0.4762
"569",578,0.4768
"570",579,0.4774
"571",580,0.478
"572",581,0.4786
"573",582,0.4792
"574",583,0.4798
"575",584,0.4804
"576",585,0.481
"577",586,0.4816
"578",587,0.4822
"579",588,0.4828
"580",589,0.4834
"581",590,0.484
"582",591,0.4846
"583",592,0.4852
"584",593,0.4858
"585",594,0.4864
"586",595,0.487
"587",596,0.4876
"588",597,0.4882
"589",598,0.4888
"590",599,0.4894
"591",600,0.49
"592",601,0.4884
"593",602,0.4868
"594",603,0.4852
"595",604,0.4836
"596",605,0.482
"597",606,0.4804
"598",607,0.4788
"599",608,0.4772
"600",609,0.4756
"601",610,0.474
"602",611,0.4724
"603",612,0.4708
"604",613,0.4692
"605",614,0.4676
"606",615,0.466
"607",616,0.4644
"608",617,0.4628
"609",618,0.4612
"610",619,0.4596
"611",620,0.458
"612",621,0.4564
"613",622,0.4548
"614",623,0.4532
"615",624,0.4516
"616",625,0.45
"617",626,0.4484
"618",627,0.4468
"619",628,0.4452
"620",629,0.4436
"621",630,0.442
"622",631,0.4404
"623",632,0.4388
"624",633,0.4372
"625",634,0.4356
"626",635,0.434
"627",636,0.4324
"628",637,0.4308
"629",638,0.4292
"630",639,0.4276
"631",640,0.426
"632",641,0.4244
"633",642,0.4228
"634",643,0.4212
"635",644,0.4196
"636",645,0.418
"637",646,0.4164
"638",647,0.4148
"639",648,0.4132
"640",649,0.4116
"641",650,0.41
"642",651,0.4088
"643",652,0.4076
"644",653,0.4064
"645",654,0.4052
"646",655,0.404
"647",656,0.4028
"648",657,0.4016
"649",658,0.4004
"650",659,0.3992
"651",660,0.398
"652",661,0.3968
"653",662,0.3956
"654",663,0.3944
"655",664,0.3932
"656",665,0.392
"657",666,0.3908
"658",667,0.3896
"659",668,0.3884
"660",669,0.3872
"661",670,0.386
"662",671,0.3848
"663",672,0.3836
"664",673,0.3824
"665",674,0.3812
"666",675,0.38
"667",676,0.3788
"668",677,0.3776
"669",678,0.3764
"670",679,0.3752
"671",680,0.374
"672",681,0.3728
"673",682,0.3716
"674",683,0.3704
"675",684,0.3692
"676",685,0.368
"677",686,0.3668
"678",687,0.3656
"679",688,0.3644
"680",689,0.3632
"681",690,0.362
"682",691,0.3608
"683",692,0.3596
"684",693,0.3584
"685",694,0.3572
"686",695,0.356
"687",696,0.3548
"688",697,0.3536
"689",698,0.3524
"690",699,0.3512
"691",700,0.35
"692",701,0.352
"693",702,0.354
"694",703,0.356
"695",704,0.358
"696",705,0.36
"697",706,0.362
"698",707,0.364
"699",708,0.366
"700",709,0.368
"701",710,0.37
"702",711,0.372
"703",712,0.374
"704",713,0.376
"705",714,0.378
"706",715,0.38
"707",716,0.382
"708",717,0.384
"709",718,0.386
"710",719,0.388
"711",720,0.39
"712",721,0.392
"713",722,0.394
"714",723,0.396
"715",724,0.398
"716",725,0.4
"717",726,0.402
"718",727,0.404
"719",728,0.406
"720",729,0.408
"721",730,0.41
"722",731,0.412
"723",732,0.414
"724",733,0.416
"725",734,0.418
"726",735,0.42
"727",736,0.422
"728",737,0.424
"729",738,0.426
"730",739,0.428
"731",740,0.43
"732",741,0.432
"733",742,0.434
"734",743,0.436
"735",744,0.438
"736",745,0.44
"737",746,0.442
"738",747,0.444
"739",748,0.446
"740",749,0.448
"741",750,0.45
"742",751,0.4478
"743",752,0.4456
"744",753,0.4434
"745",754,0.4412
"746",755,0.439
"747",756,0.4368
"748",757,0.4346
"749",758,0.4324
"750",759,0.4302
"751",760,0.428
"752",761,0.4258
"753",762,0.4236
"754",763,0.4214
"755",764,0.4192
"756",765,0.417
"757",766,0.4148
"758",767,0.4126
"759",768,0.4104
"760",769,0.4082
"761",770,0.406
"762",771,0.4038
"763",772,0.4016
"764",773,0.3994
"765",774,0.3972
"766",775,0.395
"767",776,0.3928
"768",777,0.3906
"769",778,0.3884
"770",779,0.3862
"771",780,0.384
"772",781,0.3818
"773",782,0.3796
"774",783,0.3774
"775",784,0.3752
"776",785,0.373
"777",786,0.3708
"778",787,0.3686
"779",788,0.3664
"780",789,0.3642
"781",790,0.362
"782",791,0.3598
"783",792,0.3576
"784",793,0.3554
"785",794,0.3532
"786",795,0.351
"787",796,0.3488
"788",797,0.3466
"789",798,0.3444
"790",799,0.3422
"791",800,0.34
"792",801,0.342
"793",802,0.344
"794",803,0.346
"795",804,0.348
"796",805,0.35
"797",806,0.352
"798",807,0.354
"799",808,0.356
"800",809,0.358
"801",810,0.36
"802",811,0.362
"803",812,0.364
"804",813,0.366
"805",814,0.368
"806",815,0.37
"807",816,0.372
"808",817,0.374
"809",818,0.376
"810",819,0.378
"811",820,0.38
"812",821,0.382
"813",822,0.384
"814",823,0.386
"815",824,0.388
"816",825,0.39
"817",826,0.392
"818",827,0.394
"819",828,0.396
"820",829,0.398
"821",830,0.4
"822",831,0.402
"823",832,0.404
"824",833,0.406
"825",834,0.408
"826",835,0.41
"827",836,0.412
"828",837,0.414
"829",838,0.416
"830",839,0.418
"831",840,0.42
"832",841,0.422
"833",842,0.424
"834",843,0.426
"835",844,0.428
"836",845,0.43
"837",846,0.432
"838",847,0.434
"839",848,0.436
"840",849,0.438
"841",850,0.44
"842",851,0.4404
"843",852,0.4408
"844",853,0.4412
"845",854,0.4416
"846",855,0.442
"847",856,0.4424
"848",857,0.4428
"849",858,0.4432
"850",859,0.4436
"851",860,0.444
"852",861,0.4444
"853",862,0.4448
"854",863,0.4452
"855",864,0.4456
"856",865,0.446
"857",866,0.4464
"858",867,0.4468
"859",868,0.4472
"860",869,0.4476
"861",870,0.448
"862",871,0.4484
"863",872,0.4488
"864",873,0.4492
"865",874,0.4496
"866",875,0.45
"867",876,0.4504
"868",877,0.4508
"869",878,0.4512
"870",879,0.4516
"871",880,0.452
"872",881,0.4524
"873",882,0.4528
"874",883,0.4532
"875",884,0.4536
"876",885,0.454
"877",886,0.4544
"878",887,0.4548
"879",888,0.4552
"880",889,0.4556
"881",890,0.456
"882",891,0.4564
"883",892,0.4568
"884",893,0.4572
"885",894,0.4576
"886",895,0.458
"887",896,0.4584
"888",897,0.4588
"889",898,0.4592
"890",899,0.4596
"891",900,0.46
"892",901,0.4582
"893",902,0.4564
"894",903,0.4546
"895",904,0.4528
"896",905,0.451
"897",906,0.4492
"898",907,0.4474
"899",908,0.4456
"900",909,0.4438
"901",910,0.442
"902",911,0.4402
"903",912,0.4384
"904",913,0.4366
"905",914,0.4348
"906",915,0.433
"907",916,0.4312
"908",917,0.4294
"909",918,0.4276
"910",919,0.4258
"911",920,0.424
"912",921,0.4222
"913",922,0.4204
"914",923,0.4186
"915",924,0.4168
"916",925,0.415
"917",926,0.4132
"918",927,0.4114
"919",928,0.4096
"920",929,0.4078
"921",930,0.406
"922",931,0.4042
"923",932,0.4024
"924",933,0.4006
"925",934,0.3988
"926",935,0.397
"927",936,0.3952
"928",937,0.3934
"929",938,0.3916
"930",939,0.3898
"931",940,0.388
"932",941,0.3862
"933",942,0.3844
"934",943,0.3826
"935",944,0.3808
"936",945,0.379
"937",946,0.3772
"938",947,0.3754
"939",948,0.3736
"940",949,0.3718
"941",950,0.37
"942",951,0.37
"943",952,0.37
"944",953,0.37
"945",954,0.37
"946",955,0.37
"947",956,0.37
"948",957,0.37
"949",958,0.37
"950",959,0.37
"951",960,0.37
"952",961,0.37
"953",962,0.37
"954",963,0.37
"955",964,0.37
"956",965,0.37
"957",966,0.37
"958",967,0.37
"959",968,0.37
"960",969,0.37
"961",970,0.37
"962",971,0.37
"963",972,0.37
"964",973,0.37
"965",974,0.37
"966",975,0.37
"967",976,0.37
"968",977,0.37
"969",978,0.37
"970",979,0.37
"971",980,0.37
"972",981,0.37
"973",982,0.37
"974",983,0.37
"975",984,0.37
"976",985,0.37
"977",986,0.37
"978",987,0.37
"979",988,0.37
"980",989,0.37
"981",990,0.37
"982",991,0.37
"983",992,0.37
"984",993,0.37
"985",994,0.37
"986",995,0.37
"987",996,0.37
"988",997,0.37
"989",998,0.37
"990",999,0.37
"991",1000,0.37
