"","thres","Sample.Size","snr","test","power"
"1",0.05,20,0.14,200,0.279
"2",0.05,120,0.14,1200,0.927
"3",0.05,220,0.14,2200,0.997
"4",0.05,320,0.14,3200,1
"5",0.05,420,0.14,4200,1
"6",0.05,520,0.14,5200,1
"7",0.05,620,0.14,6200,1
"8",0.05,720,0.14,7200,1
"9",0.05,820,0.14,8200,1
"10",0.05,920,0.14,9200,1
"11",0.05,1020,0.14,10200,1
"12",0.05,1120,0.14,11200,1
"13",0.05,1220,0.14,12200,1
"14",0.05,1320,0.14,13200,1
"15",0.05,1420,0.14,14200,1
"16",0.05,1520,0.14,15200,1
"17",0.05,1620,0.14,16200,1
"18",0.05,1720,0.14,17200,1
"19",0.05,1820,0.14,18200,1
"20",0.05,1920,0.14,19200,1
"21",0.05,2020,0.14,20200,1
"22",0.05,2120,0.14,21200,1
"23",0.05,2220,0.14,22200,1
