"","thres","n","snr","test","power"
"1",0.5,10,39.98,"URXOP2",0.39
"2",0.5,10,39.98,"URXOP4",0.7
"3",0.5,10,39.98,"URXOP6",0.68
"4",0.5,10,39.98,"URXOP1",0.87
"5",0.5,10,39.98,"URXOP3",0.65
"6",0.5,10,39.98,"URXOP5",0.73
"7",0.5,20,41.21,"URXOP2",0.41
"8",0.5,20,41.21,"URXOP4",0.45
"9",0.5,20,41.21,"URXOP6",0.64
"10",0.5,20,41.21,"URXOP1",0.94
"11",0.5,20,41.21,"URXOP3",0.51
"12",0.5,20,41.21,"URXOP5",0.63
"13",0.5,30,39.88,"URXOP2",0.65
"14",0.5,30,39.88,"URXOP4",0.56
"15",0.5,30,39.88,"URXOP6",0.75
"16",0.5,30,39.88,"URXOP1",0.99
"17",0.5,30,39.88,"URXOP3",0.62
"18",0.5,30,39.88,"URXOP5",0.72
"19",0.5,40,40.59,"URXOP2",0.66
"20",0.5,40,40.59,"URXOP4",0.36
"21",0.5,40,40.59,"URXOP6",0.77
"22",0.5,40,40.59,"URXOP1",0.99
"23",0.5,40,40.59,"URXOP3",0.61
"24",0.5,40,40.59,"URXOP5",0.64
"25",0.5,50,40.09,"URXOP2",0.77
"26",0.5,50,40.09,"URXOP4",0.43
"27",0.5,50,40.09,"URXOP6",0.87
"28",0.5,50,40.09,"URXOP1",1
"29",0.5,50,40.09,"URXOP3",0.63
"30",0.5,50,40.09,"URXOP5",0.76
"31",0.5,60,39.94,"URXOP2",0.91
"32",0.5,60,39.94,"URXOP4",0.27
"33",0.5,60,39.94,"URXOP6",0.92
"34",0.5,60,39.94,"URXOP1",1
"35",0.5,60,39.94,"URXOP3",0.8
"36",0.5,60,39.94,"URXOP5",0.58
"37",0.5,70,40.19,"URXOP2",0.93
"38",0.5,70,40.19,"URXOP4",0.26
"39",0.5,70,40.19,"URXOP6",0.96
"40",0.5,70,40.19,"URXOP1",1
"41",0.5,70,40.19,"URXOP3",0.84
"42",0.5,70,40.19,"URXOP5",0.58
"43",0.5,80,40.59,"URXOP2",0.96
"44",0.5,80,40.59,"URXOP4",0.18
"45",0.5,80,40.59,"URXOP6",0.94
"46",0.5,80,40.59,"URXOP1",1
"47",0.5,80,40.59,"URXOP3",0.88
"48",0.5,80,40.59,"URXOP5",0.49
"49",0.5,90,41.35,"URXOP2",0.99
"50",0.5,90,41.35,"URXOP4",0.18
"51",0.5,90,41.35,"URXOP6",0.97
"52",0.5,90,41.35,"URXOP1",1
"53",0.5,90,41.35,"URXOP3",0.97
"54",0.5,90,41.35,"URXOP5",0.36
"55",0.5,100,40.54,"URXOP2",1
"56",0.5,100,40.54,"URXOP4",0.17
"57",0.5,100,40.54,"URXOP6",0.95
"58",0.5,100,40.54,"URXOP1",1
"59",0.5,100,40.54,"URXOP3",0.95
"60",0.5,100,40.54,"URXOP5",0.37
"61",0.5,110,41.36,"URXOP2",0.99
"62",0.5,110,41.36,"URXOP4",0.17
"63",0.5,110,41.36,"URXOP6",0.97
"64",0.5,110,41.36,"URXOP1",1
"65",0.5,110,41.36,"URXOP3",0.92
"66",0.5,110,41.36,"URXOP5",0.35
"67",0.5,120,40.54,"URXOP2",1
"68",0.5,120,40.54,"URXOP4",0.14
"69",0.5,120,40.54,"URXOP6",0.93
"70",0.5,120,40.54,"URXOP1",1
"71",0.5,120,40.54,"URXOP3",0.98
"72",0.5,120,40.54,"URXOP5",0.31
"73",0.5,130,39.96,"URXOP2",1
"74",0.5,130,39.96,"URXOP4",0.12
"75",0.5,130,39.96,"URXOP6",0.87
"76",0.5,130,39.96,"URXOP1",1
"77",0.5,130,39.96,"URXOP3",0.99
"78",0.5,130,39.96,"URXOP5",0.21
"79",0.5,140,38.98,"URXOP2",1
"80",0.5,140,38.98,"URXOP4",0.1
"81",0.5,140,38.98,"URXOP6",0.91
"82",0.5,140,38.98,"URXOP1",1
"83",0.5,140,38.98,"URXOP3",1
"84",0.5,140,38.98,"URXOP5",0.2
"85",0.5,150,40.34,"URXOP2",1
"86",0.5,150,40.34,"URXOP4",0.08
"87",0.5,150,40.34,"URXOP6",0.88
"88",0.5,150,40.34,"URXOP1",1
"89",0.5,150,40.34,"URXOP3",1
"90",0.5,150,40.34,"URXOP5",0.24
"91",0.5,160,40.03,"URXOP2",1
"92",0.5,160,40.03,"URXOP4",0.07
"93",0.5,160,40.03,"URXOP6",0.89
"94",0.5,160,40.03,"URXOP1",1
"95",0.5,160,40.03,"URXOP3",1
"96",0.5,160,40.03,"URXOP5",0.18
"97",0.5,170,40.17,"URXOP2",1
"98",0.5,170,40.17,"URXOP4",0.1
"99",0.5,170,40.17,"URXOP6",0.87
"100",0.5,170,40.17,"URXOP1",1
"101",0.5,170,40.17,"URXOP3",0.99
"102",0.5,170,40.17,"URXOP5",0.22
"103",0.5,180,40.83,"URXOP2",1
"104",0.5,180,40.83,"URXOP4",0.12
"105",0.5,180,40.83,"URXOP6",0.87
"106",0.5,180,40.83,"URXOP1",1
"107",0.5,180,40.83,"URXOP3",1
"108",0.5,180,40.83,"URXOP5",0.24
"109",0.5,190,40.55,"URXOP2",1
"110",0.5,190,40.55,"URXOP4",0.1
"111",0.5,190,40.55,"URXOP6",0.78
"112",0.5,190,40.55,"URXOP1",1
"113",0.5,190,40.55,"URXOP3",0.99
"114",0.5,190,40.55,"URXOP5",0.15
"115",0.5,200,39.88,"URXOP2",1
"116",0.5,200,39.88,"URXOP4",0.1
"117",0.5,200,39.88,"URXOP6",0.82
"118",0.5,200,39.88,"URXOP1",1
"119",0.5,200,39.88,"URXOP3",1
"120",0.5,200,39.88,"URXOP5",0.2
"121",0.5,210,41.22,"URXOP2",1
"122",0.5,210,41.22,"URXOP4",0.12
"123",0.5,210,41.22,"URXOP6",0.75
"124",0.5,210,41.22,"URXOP1",1
"125",0.5,210,41.22,"URXOP3",1
"126",0.5,210,41.22,"URXOP5",0.16
"127",0.5,220,39.43,"URXOP2",1
"128",0.5,220,39.43,"URXOP4",0.11
"129",0.5,220,39.43,"URXOP6",0.83
"130",0.5,220,39.43,"URXOP1",1
"131",0.5,220,39.43,"URXOP3",1
"132",0.5,220,39.43,"URXOP5",0.24
"133",0.5,230,40.84,"URXOP2",1
"134",0.5,230,40.84,"URXOP4",0.04
"135",0.5,230,40.84,"URXOP6",0.77
"136",0.5,230,40.84,"URXOP1",1
"137",0.5,230,40.84,"URXOP3",1
"138",0.5,230,40.84,"URXOP5",0.24
"139",0.5,240,41.14,"URXOP2",1
"140",0.5,240,41.14,"URXOP4",0.15
"141",0.5,240,41.14,"URXOP6",0.82
"142",0.5,240,41.14,"URXOP1",1
"143",0.5,240,41.14,"URXOP3",1
"144",0.5,240,41.14,"URXOP5",0.22
"145",0.5,250,42.3,"URXOP2",1
"146",0.5,250,42.3,"URXOP4",0.11
"147",0.5,250,42.3,"URXOP6",0.76
"148",0.5,250,42.3,"URXOP1",1
"149",0.5,250,42.3,"URXOP3",1
"150",0.5,250,42.3,"URXOP5",0.17
"151",0.5,260,41.39,"URXOP2",1
"152",0.5,260,41.39,"URXOP4",0.15
"153",0.5,260,41.39,"URXOP6",0.8
"154",0.5,260,41.39,"URXOP1",1
"155",0.5,260,41.39,"URXOP3",1
"156",0.5,260,41.39,"URXOP5",0.17
"157",0.5,270,41.45,"URXOP2",1
"158",0.5,270,41.45,"URXOP4",0.12
"159",0.5,270,41.45,"URXOP6",0.69
"160",0.5,270,41.45,"URXOP1",1
"161",0.5,270,41.45,"URXOP3",1
"162",0.5,270,41.45,"URXOP5",0.14
"163",0.5,280,41.7,"URXOP2",1
"164",0.5,280,41.7,"URXOP4",0.13
"165",0.5,280,41.7,"URXOP6",0.8
"166",0.5,280,41.7,"URXOP1",1
"167",0.5,280,41.7,"URXOP3",1
"168",0.5,280,41.7,"URXOP5",0.24
"169",0.5,290,40.29,"URXOP2",1
"170",0.5,290,40.29,"URXOP4",0.1
"171",0.5,290,40.29,"URXOP6",0.73
"172",0.5,290,40.29,"URXOP1",1
"173",0.5,290,40.29,"URXOP3",1
"174",0.5,290,40.29,"URXOP5",0.17
"175",0.5,300,39.63,"URXOP2",1
"176",0.5,300,39.63,"URXOP4",0.13
"177",0.5,300,39.63,"URXOP6",0.71
"178",0.5,300,39.63,"URXOP1",1
"179",0.5,300,39.63,"URXOP3",1
"180",0.5,300,39.63,"URXOP5",0.22
"181",0.5,310,40.33,"URXOP2",1
"182",0.5,310,40.33,"URXOP4",0.09
"183",0.5,310,40.33,"URXOP6",0.67
"184",0.5,310,40.33,"URXOP1",1
"185",0.5,310,40.33,"URXOP3",1
"186",0.5,310,40.33,"URXOP5",0.22
"187",0.5,320,40.18,"URXOP2",1
"188",0.5,320,40.18,"URXOP4",0.12
"189",0.5,320,40.18,"URXOP6",0.81
"190",0.5,320,40.18,"URXOP1",1
"191",0.5,320,40.18,"URXOP3",1
"192",0.5,320,40.18,"URXOP5",0.19
"193",0.5,330,40.16,"URXOP2",1
"194",0.5,330,40.16,"URXOP4",0.17
"195",0.5,330,40.16,"URXOP6",0.71
"196",0.5,330,40.16,"URXOP1",1
"197",0.5,330,40.16,"URXOP3",1
"198",0.5,330,40.16,"URXOP5",0.25
"199",0.5,340,41.16,"URXOP2",1
"200",0.5,340,41.16,"URXOP4",0.08
"201",0.5,340,41.16,"URXOP6",0.7
"202",0.5,340,41.16,"URXOP1",1
"203",0.5,340,41.16,"URXOP3",1
"204",0.5,340,41.16,"URXOP5",0.21
"205",0.5,350,40.63,"URXOP2",1
"206",0.5,350,40.63,"URXOP4",0.12
"207",0.5,350,40.63,"URXOP6",0.7
"208",0.5,350,40.63,"URXOP1",1
"209",0.5,350,40.63,"URXOP3",1
"210",0.5,350,40.63,"URXOP5",0.25
"211",0.5,360,39.03,"URXOP2",1
"212",0.5,360,39.03,"URXOP4",0.08
"213",0.5,360,39.03,"URXOP6",0.61
"214",0.5,360,39.03,"URXOP1",1
"215",0.5,360,39.03,"URXOP3",1
"216",0.5,360,39.03,"URXOP5",0.21
"217",0.5,370,40.23,"URXOP2",1
"218",0.5,370,40.23,"URXOP4",0.17
"219",0.5,370,40.23,"URXOP6",0.63
"220",0.5,370,40.23,"URXOP1",1
"221",0.5,370,40.23,"URXOP3",1
"222",0.5,370,40.23,"URXOP5",0.24
"223",0.5,380,40.11,"URXOP2",1
"224",0.5,380,40.11,"URXOP4",0.03
"225",0.5,380,40.11,"URXOP6",0.67
"226",0.5,380,40.11,"URXOP1",1
"227",0.5,380,40.11,"URXOP3",1
"228",0.5,380,40.11,"URXOP5",0.19
"229",0.5,390,41,"URXOP2",1
"230",0.5,390,41,"URXOP4",0.13
"231",0.5,390,41,"URXOP6",0.67
"232",0.5,390,41,"URXOP1",1
"233",0.5,390,41,"URXOP3",1
"234",0.5,390,41,"URXOP5",0.17
"235",0.5,400,40.86,"URXOP2",1
"236",0.5,400,40.86,"URXOP4",0.09
"237",0.5,400,40.86,"URXOP6",0.58
"238",0.5,400,40.86,"URXOP1",1
"239",0.5,400,40.86,"URXOP3",1
"240",0.5,400,40.86,"URXOP5",0.2
"241",0.5,410,39.65,"URXOP2",1
"242",0.5,410,39.65,"URXOP4",0.16
"243",0.5,410,39.65,"URXOP6",0.62
"244",0.5,410,39.65,"URXOP1",1
"245",0.5,410,39.65,"URXOP3",1
"246",0.5,410,39.65,"URXOP5",0.18
"247",0.5,420,40.95,"URXOP2",1
"248",0.5,420,40.95,"URXOP4",0.13
"249",0.5,420,40.95,"URXOP6",0.63
"250",0.5,420,40.95,"URXOP1",1
"251",0.5,420,40.95,"URXOP3",1
"252",0.5,420,40.95,"URXOP5",0.23
"253",0.5,430,40.67,"URXOP2",1
"254",0.5,430,40.67,"URXOP4",0.13
"255",0.5,430,40.67,"URXOP6",0.61
"256",0.5,430,40.67,"URXOP1",1
"257",0.5,430,40.67,"URXOP3",1
"258",0.5,430,40.67,"URXOP5",0.21
"259",0.5,440,40.29,"URXOP2",1
"260",0.5,440,40.29,"URXOP4",0.12
"261",0.5,440,40.29,"URXOP6",0.59
"262",0.5,440,40.29,"URXOP1",1
"263",0.5,440,40.29,"URXOP3",1
"264",0.5,440,40.29,"URXOP5",0.23
"265",0.5,450,41.16,"URXOP2",1
"266",0.5,450,41.16,"URXOP4",0.1
"267",0.5,450,41.16,"URXOP6",0.62
"268",0.5,450,41.16,"URXOP1",1
"269",0.5,450,41.16,"URXOP3",1
"270",0.5,450,41.16,"URXOP5",0.17
"271",0.5,460,41.2,"URXOP2",1
"272",0.5,460,41.2,"URXOP4",0.14
"273",0.5,460,41.2,"URXOP6",0.57
"274",0.5,460,41.2,"URXOP1",1
"275",0.5,460,41.2,"URXOP3",1
"276",0.5,460,41.2,"URXOP5",0.18
"277",0.5,470,39.94,"URXOP2",1
"278",0.5,470,39.94,"URXOP4",0.15
"279",0.5,470,39.94,"URXOP6",0.65
"280",0.5,470,39.94,"URXOP1",1
"281",0.5,470,39.94,"URXOP3",1
"282",0.5,470,39.94,"URXOP5",0.14
"283",0.5,480,40.59,"URXOP2",1
"284",0.5,480,40.59,"URXOP4",0.14
"285",0.5,480,40.59,"URXOP6",0.6
"286",0.5,480,40.59,"URXOP1",1
"287",0.5,480,40.59,"URXOP3",1
"288",0.5,480,40.59,"URXOP5",0.2
"289",0.5,490,41.24,"URXOP2",1
"290",0.5,490,41.24,"URXOP4",0.08
"291",0.5,490,41.24,"URXOP6",0.55
"292",0.5,490,41.24,"URXOP1",1
"293",0.5,490,41.24,"URXOP3",1
"294",0.5,490,41.24,"URXOP5",0.12
"295",0.5,500,40.67,"URXOP2",1
"296",0.5,500,40.67,"URXOP4",0.12
"297",0.5,500,40.67,"URXOP6",0.53
"298",0.5,500,40.67,"URXOP1",1
"299",0.5,500,40.67,"URXOP3",1
"300",0.5,500,40.67,"URXOP5",0.16
