"","thres","n","snr","test","power"
"1",0.5,10,14.45,"URXOP2",0.33
"2",0.5,10,14.45,"URXOP4",0.6
"3",0.5,10,14.45,"URXOP6",0.61
"4",0.5,10,14.45,"URXOP1",0.86
"5",0.5,10,14.45,"URXOP3",0.61
"6",0.5,10,14.45,"URXOP5",0.57
"7",0.5,20,14.73,"URXOP2",0.34
"8",0.5,20,14.73,"URXOP4",0.48
"9",0.5,20,14.73,"URXOP6",0.52
"10",0.5,20,14.73,"URXOP1",0.96
"11",0.5,20,14.73,"URXOP3",0.49
"12",0.5,20,14.73,"URXOP5",0.56
"13",0.5,30,14.6,"URXOP2",0.4
"14",0.5,30,14.6,"URXOP4",0.38
"15",0.5,30,14.6,"URXOP6",0.55
"16",0.5,30,14.6,"URXOP1",0.95
"17",0.5,30,14.6,"URXOP3",0.4
"18",0.5,30,14.6,"URXOP5",0.53
"19",0.5,40,14.67,"URXOP2",0.41
"20",0.5,40,14.67,"URXOP4",0.38
"21",0.5,40,14.67,"URXOP6",0.64
"22",0.5,40,14.67,"URXOP1",0.97
"23",0.5,40,14.67,"URXOP3",0.48
"24",0.5,40,14.67,"URXOP5",0.54
"25",0.5,50,14.66,"URXOP2",0.5
"26",0.5,50,14.66,"URXOP4",0.38
"27",0.5,50,14.66,"URXOP6",0.68
"28",0.5,50,14.66,"URXOP1",0.98
"29",0.5,50,14.66,"URXOP3",0.49
"30",0.5,50,14.66,"URXOP5",0.66
"31",0.5,60,14.69,"URXOP2",0.61
"32",0.5,60,14.69,"URXOP4",0.36
"33",0.5,60,14.69,"URXOP6",0.74
"34",0.5,60,14.69,"URXOP1",0.99
"35",0.5,60,14.69,"URXOP3",0.5
"36",0.5,60,14.69,"URXOP5",0.63
"37",0.5,70,14.98,"URXOP2",0.67
"38",0.5,70,14.98,"URXOP4",0.31
"39",0.5,70,14.98,"URXOP6",0.73
"40",0.5,70,14.98,"URXOP1",0.99
"41",0.5,70,14.98,"URXOP3",0.61
"42",0.5,70,14.98,"URXOP5",0.64
"43",0.5,80,14.62,"URXOP2",0.79
"44",0.5,80,14.62,"URXOP4",0.39
"45",0.5,80,14.62,"URXOP6",0.86
"46",0.5,80,14.62,"URXOP1",0.99
"47",0.5,80,14.62,"URXOP3",0.65
"48",0.5,80,14.62,"URXOP5",0.66
"49",0.5,90,14.78,"URXOP2",0.83
"50",0.5,90,14.78,"URXOP4",0.24
"51",0.5,90,14.78,"URXOP6",0.88
"52",0.5,90,14.78,"URXOP1",1
"53",0.5,90,14.78,"URXOP3",0.74
"54",0.5,90,14.78,"URXOP5",0.52
"55",0.5,100,14.89,"URXOP2",0.82
"56",0.5,100,14.89,"URXOP4",0.17
"57",0.5,100,14.89,"URXOP6",0.81
"58",0.5,100,14.89,"URXOP1",1
"59",0.5,100,14.89,"URXOP3",0.64
"60",0.5,100,14.89,"URXOP5",0.53
"61",0.5,110,14.59,"URXOP2",0.87
"62",0.5,110,14.59,"URXOP4",0.19
"63",0.5,110,14.59,"URXOP6",0.9
"64",0.5,110,14.59,"URXOP1",1
"65",0.5,110,14.59,"URXOP3",0.66
"66",0.5,110,14.59,"URXOP5",0.55
"67",0.5,120,14.78,"URXOP2",0.9
"68",0.5,120,14.78,"URXOP4",0.21
"69",0.5,120,14.78,"URXOP6",0.89
"70",0.5,120,14.78,"URXOP1",1
"71",0.5,120,14.78,"URXOP3",0.83
"72",0.5,120,14.78,"URXOP5",0.45
"73",0.5,130,14.7,"URXOP2",0.95
"74",0.5,130,14.7,"URXOP4",0.16
"75",0.5,130,14.7,"URXOP6",0.91
"76",0.5,130,14.7,"URXOP1",1
"77",0.5,130,14.7,"URXOP3",0.83
"78",0.5,130,14.7,"URXOP5",0.42
"79",0.5,140,14.82,"URXOP2",0.98
"80",0.5,140,14.82,"URXOP4",0.08
"81",0.5,140,14.82,"URXOP6",0.92
"82",0.5,140,14.82,"URXOP1",1
"83",0.5,140,14.82,"URXOP3",0.92
"84",0.5,140,14.82,"URXOP5",0.38
