"","thres","Sample.Size","snr","test","power"
"1",0.05,20,39.17,200,1
"2",0.05,120,39.9,1200,1
"3",0.05,220,41.43,2200,1
"4",0.05,320,40.3,3200,1
"5",0.05,420,40.3,4200,1
"6",0.05,520,41.54,5200,1
"7",0.05,620,39.21,6200,1
"8",0.05,720,41.91,7200,1
"9",0.05,820,40,8200,1
"10",0.05,920,40.42,9200,1
"11",0.05,1020,40.76,10200,1
"12",0.05,1120,41.32,11200,1
"13",0.05,1220,40.52,12200,1
"14",0.05,1320,40.6,13200,1
"15",0.05,1420,40.31,14200,1
"16",0.05,1520,40.66,15200,1
"17",0.05,1620,39.83,16200,1
"18",0.05,1720,40.49,17200,1
"19",0.05,1820,40.89,18200,1
"20",0.05,1920,40.05,19200,1
"21",0.05,2020,40.22,20200,1
"22",0.05,2120,40.22,21200,1
"23",0.05,2220,40.98,22200,1
