"","thres","Sample.Size","snr","test","power"
"1",0.05,20,14.56,200,1
"2",0.05,120,14.7,1200,1
"3",0.05,220,14.86,2200,1
"4",0.05,320,14.34,3200,1
"5",0.05,420,14.61,4200,1
"6",0.05,520,14.66,5200,1
"7",0.05,620,14.54,6200,1
"8",0.05,720,14.91,7200,1
"9",0.05,820,15.09,8200,1
"10",0.05,920,14.75,9200,1
"11",0.05,1020,14.95,10200,1
"12",0.05,1120,14.68,11200,1
"13",0.05,1220,15.16,12200,1
"14",0.05,1320,14.68,13200,1
"15",0.05,1420,14.3,14200,1
"16",0.05,1520,14.78,15200,1
"17",0.05,1620,14.7,16200,1
"18",0.05,1720,14.9,17200,1
"19",0.05,1820,14.84,18200,1
"20",0.05,1920,14.85,19200,1
"21",0.05,2020,15.02,20200,1
"22",0.05,2120,14.75,21200,1
"23",0.05,2220,14.52,22200,1
