"","thres","n","snr","test","power"
"1",0.05,20,14.56,"URXOP2",0.51
"2",0.05,20,14.56,"URXOP4",0.12
"3",0.05,20,14.56,"URXOP6",0.05
"4",0.05,20,14.56,"URXOP1",0.51
"5",0.05,20,14.56,"URXOP3",0.16
"6",0.05,20,14.56,"URXOP5",0.14
"7",0.05,30,14.55,"URXOP2",0.69
"8",0.05,30,14.55,"URXOP4",0.11
"9",0.05,30,14.55,"URXOP6",0.09
"10",0.05,30,14.55,"URXOP1",0.71
"11",0.05,30,14.55,"URXOP3",0.31
"12",0.05,30,14.55,"URXOP5",0.26
"13",0.05,40,14.84,"URXOP2",0.76
"14",0.05,40,14.84,"URXOP4",0.14
"15",0.05,40,14.84,"URXOP6",0.07
"16",0.05,40,14.84,"URXOP1",0.76
"17",0.05,40,14.84,"URXOP3",0.48
"18",0.05,40,14.84,"URXOP5",0.31
"19",0.05,50,15.04,"URXOP2",0.78
"20",0.05,50,15.04,"URXOP4",0.22
"21",0.05,50,15.04,"URXOP6",0.1
"22",0.05,50,15.04,"URXOP1",0.83
"23",0.05,50,15.04,"URXOP3",0.46
"24",0.05,50,15.04,"URXOP5",0.37
"25",0.05,60,14.6,"URXOP2",0.9
"26",0.05,60,14.6,"URXOP4",0.29
"27",0.05,60,14.6,"URXOP6",0.02
"28",0.05,60,14.6,"URXOP1",0.91
"29",0.05,60,14.6,"URXOP3",0.53
"30",0.05,60,14.6,"URXOP5",0.46
"31",0.05,70,14.42,"URXOP2",0.9
"32",0.05,70,14.42,"URXOP4",0.31
"33",0.05,70,14.42,"URXOP6",0.06
"34",0.05,70,14.42,"URXOP1",0.97
"35",0.05,70,14.42,"URXOP3",0.49
"36",0.05,70,14.42,"URXOP5",0.48
"37",0.05,80,14.45,"URXOP2",0.94
"38",0.05,80,14.45,"URXOP4",0.33
"39",0.05,80,14.45,"URXOP6",0.08
"40",0.05,80,14.45,"URXOP1",0.96
"41",0.05,80,14.45,"URXOP3",0.49
"42",0.05,80,14.45,"URXOP5",0.43
"43",0.05,90,14.77,"URXOP2",0.93
"44",0.05,90,14.77,"URXOP4",0.46
"45",0.05,90,14.77,"URXOP6",0.05
"46",0.05,90,14.77,"URXOP1",0.93
"47",0.05,90,14.77,"URXOP3",0.57
"48",0.05,90,14.77,"URXOP5",0.5
"49",0.05,100,15.06,"URXOP2",0.96
"50",0.05,100,15.06,"URXOP4",0.46
"51",0.05,100,15.06,"URXOP6",0.04
"52",0.05,100,15.06,"URXOP1",0.93
"53",0.05,100,15.06,"URXOP3",0.51
"54",0.05,100,15.06,"URXOP5",0.54
"55",0.05,110,14.99,"URXOP2",0.97
"56",0.05,110,14.99,"URXOP4",0.48
"57",0.05,110,14.99,"URXOP6",0.06
"58",0.05,110,14.99,"URXOP1",0.96
"59",0.05,110,14.99,"URXOP3",0.61
"60",0.05,110,14.99,"URXOP5",0.43
"61",0.05,120,15.29,"URXOP2",0.98
"62",0.05,120,15.29,"URXOP4",0.52
"63",0.05,120,15.29,"URXOP6",0.07
"64",0.05,120,15.29,"URXOP1",0.9
"65",0.05,120,15.29,"URXOP3",0.57
"66",0.05,120,15.29,"URXOP5",0.51
"67",0.05,130,14.88,"URXOP2",0.96
"68",0.05,130,14.88,"URXOP4",0.65
"69",0.05,130,14.88,"URXOP6",0.07
"70",0.05,130,14.88,"URXOP1",0.96
"71",0.05,130,14.88,"URXOP3",0.56
"72",0.05,130,14.88,"URXOP5",0.56
"73",0.05,140,15.01,"URXOP2",0.97
"74",0.05,140,15.01,"URXOP4",0.52
"75",0.05,140,15.01,"URXOP6",0.06
"76",0.05,140,15.01,"URXOP1",0.95
"77",0.05,140,15.01,"URXOP3",0.54
"78",0.05,140,15.01,"URXOP5",0.42
"79",0.05,150,14.57,"URXOP2",0.93
"80",0.05,150,14.57,"URXOP4",0.61
"81",0.05,150,14.57,"URXOP6",0.08
"82",0.05,150,14.57,"URXOP1",0.95
"83",0.05,150,14.57,"URXOP3",0.63
"84",0.05,150,14.57,"URXOP5",0.58
"85",0.05,160,14.75,"URXOP2",0.96
"86",0.05,160,14.75,"URXOP4",0.59
"87",0.05,160,14.75,"URXOP6",0.08
"88",0.05,160,14.75,"URXOP1",0.98
"89",0.05,160,14.75,"URXOP3",0.65
"90",0.05,160,14.75,"URXOP5",0.48
"91",0.05,170,14.5,"URXOP2",0.99
"92",0.05,170,14.5,"URXOP4",0.53
"93",0.05,170,14.5,"URXOP6",0.14
"94",0.05,170,14.5,"URXOP1",0.97
"95",0.05,170,14.5,"URXOP3",0.55
"96",0.05,170,14.5,"URXOP5",0.62
"97",0.05,180,15.06,"URXOP2",0.99
"98",0.05,180,15.06,"URXOP4",0.55
"99",0.05,180,15.06,"URXOP6",0.06
"100",0.05,180,15.06,"URXOP1",0.97
"101",0.05,180,15.06,"URXOP3",0.52
"102",0.05,180,15.06,"URXOP5",0.6
"103",0.05,190,14.96,"URXOP2",0.97
"104",0.05,190,14.96,"URXOP4",0.66
"105",0.05,190,14.96,"URXOP6",0.09
"106",0.05,190,14.96,"URXOP1",1
"107",0.05,190,14.96,"URXOP3",0.65
"108",0.05,190,14.96,"URXOP5",0.6
"109",0.05,200,15.03,"URXOP2",0.95
"110",0.05,200,15.03,"URXOP4",0.68
"111",0.05,200,15.03,"URXOP6",0.09
"112",0.05,200,15.03,"URXOP1",0.99
"113",0.05,200,15.03,"URXOP3",0.65
"114",0.05,200,15.03,"URXOP5",0.56
"115",0.05,210,14.67,"URXOP2",0.98
"116",0.05,210,14.67,"URXOP4",0.72
"117",0.05,210,14.67,"URXOP6",0.12
"118",0.05,210,14.67,"URXOP1",1
"119",0.05,210,14.67,"URXOP3",0.63
"120",0.05,210,14.67,"URXOP5",0.57
"121",0.05,220,14.66,"URXOP2",0.96
"122",0.05,220,14.66,"URXOP4",0.66
"123",0.05,220,14.66,"URXOP6",0.09
"124",0.05,220,14.66,"URXOP1",0.99
"125",0.05,220,14.66,"URXOP3",0.61
"126",0.05,220,14.66,"URXOP5",0.62
"127",0.05,230,14.53,"URXOP2",0.96
"128",0.05,230,14.53,"URXOP4",0.72
"129",0.05,230,14.53,"URXOP6",0.12
"130",0.05,230,14.53,"URXOP1",1
"131",0.05,230,14.53,"URXOP3",0.6
"132",0.05,230,14.53,"URXOP5",0.56
"133",0.05,240,14.67,"URXOP2",0.95
"134",0.05,240,14.67,"URXOP4",0.72
"135",0.05,240,14.67,"URXOP6",0.06
"136",0.05,240,14.67,"URXOP1",0.99
"137",0.05,240,14.67,"URXOP3",0.64
"138",0.05,240,14.67,"URXOP5",0.56
"139",0.05,250,14.56,"URXOP2",0.99
"140",0.05,250,14.56,"URXOP4",0.71
"141",0.05,250,14.56,"URXOP6",0.09
"142",0.05,250,14.56,"URXOP1",0.99
"143",0.05,250,14.56,"URXOP3",0.66
"144",0.05,250,14.56,"URXOP5",0.69
"145",0.05,260,14.78,"URXOP2",0.97
"146",0.05,260,14.78,"URXOP4",0.7
"147",0.05,260,14.78,"URXOP6",0.15
"148",0.05,260,14.78,"URXOP1",1
"149",0.05,260,14.78,"URXOP3",0.66
"150",0.05,260,14.78,"URXOP5",0.62
"151",0.05,270,14.94,"URXOP2",1
"152",0.05,270,14.94,"URXOP4",0.7
"153",0.05,270,14.94,"URXOP6",0.1
"154",0.05,270,14.94,"URXOP1",0.98
"155",0.05,270,14.94,"URXOP3",0.72
"156",0.05,270,14.94,"URXOP5",0.51
"157",0.05,280,14.44,"URXOP2",0.98
"158",0.05,280,14.44,"URXOP4",0.76
"159",0.05,280,14.44,"URXOP6",0.14
"160",0.05,280,14.44,"URXOP1",1
"161",0.05,280,14.44,"URXOP3",0.62
"162",0.05,280,14.44,"URXOP5",0.67
