"","Sample_Size","Power"
"1",10,0.73
"2",11,0.72
"3",12,0.71
"4",13,0.7
"5",14,0.69
"6",15,0.68
"7",16,0.67
"8",17,0.66
"9",18,0.65
"10",19,0.64
"11",20,0.63
"12",21,0.639
"13",22,0.648
"14",23,0.657
"15",24,0.666
"16",25,0.675
"17",26,0.684
"18",27,0.693
"19",28,0.702
"20",29,0.711
"21",30,0.72
"22",31,0.712
"23",32,0.704
"24",33,0.696
"25",34,0.688
"26",35,0.68
"27",36,0.672
"28",37,0.664
"29",38,0.656
"30",39,0.648
"31",40,0.64
"32",41,0.652
"33",42,0.664
"34",43,0.676
"35",44,0.688
"36",45,0.7
"37",46,0.712
"38",47,0.724
"39",48,0.736
"40",49,0.748
"41",50,0.76
"42",51,0.742
"43",52,0.724
"44",53,0.706
"45",54,0.688
"46",55,0.67
"47",56,0.652
"48",57,0.634
"49",58,0.616
"50",59,0.598
"51",60,0.58
"52",61,0.58
"53",62,0.58
"54",63,0.58
"55",64,0.58
"56",65,0.58
"57",66,0.58
"58",67,0.58
"59",68,0.58
"60",69,0.58
"61",70,0.58
"62",71,0.571
"63",72,0.562
"64",73,0.553
"65",74,0.544
"66",75,0.535
"67",76,0.526
"68",77,0.517
"69",78,0.508
"70",79,0.499
"71",80,0.49
"72",81,0.477
"73",82,0.464
"74",83,0.451
"75",84,0.438
"76",85,0.425
"77",86,0.412
"78",87,0.399
"79",88,0.386
"80",89,0.373
"81",90,0.36
"82",91,0.361
"83",92,0.362
"84",93,0.363
"85",94,0.364
"86",95,0.365
"87",96,0.366
"88",97,0.367
"89",98,0.368
"90",99,0.369
"91",100,0.37
"92",101,0.368
"93",102,0.366
"94",103,0.364
"95",104,0.362
"96",105,0.36
"97",106,0.358
"98",107,0.356
"99",108,0.354
"100",109,0.352
"101",110,0.35
"102",111,0.346
"103",112,0.342
"104",113,0.338
"105",114,0.334
"106",115,0.33
"107",116,0.326
"108",117,0.322
"109",118,0.318
"110",119,0.314
"111",120,0.31
"112",121,0.3
"113",122,0.29
"114",123,0.28
"115",124,0.27
"116",125,0.26
"117",126,0.25
"118",127,0.24
"119",128,0.23
"120",129,0.22
"121",130,0.21
"122",131,0.209
"123",132,0.208
"124",133,0.207
"125",134,0.206
"126",135,0.205
"127",136,0.204
"128",137,0.203
"129",138,0.202
"130",139,0.201
"131",140,0.2
"132",141,0.204
"133",142,0.208
"134",143,0.212
"135",144,0.216
"136",145,0.22
"137",146,0.224
"138",147,0.228
"139",148,0.232
"140",149,0.236
"141",150,0.24
"142",151,0.234
"143",152,0.228
"144",153,0.222
"145",154,0.216
"146",155,0.21
"147",156,0.204
"148",157,0.198
"149",158,0.192
"150",159,0.186
"151",160,0.18
"152",161,0.184
"153",162,0.188
"154",163,0.192
"155",164,0.196
"156",165,0.2
"157",166,0.204
"158",167,0.208
"159",168,0.212
"160",169,0.216
"161",170,0.22
"162",171,0.222
"163",172,0.224
"164",173,0.226
"165",174,0.228
"166",175,0.23
"167",176,0.232
"168",177,0.234
"169",178,0.236
"170",179,0.238
"171",180,0.24
"172",181,0.231
"173",182,0.222
"174",183,0.213
