"","Sample_Size","Power"
"1",10,0.57
"2",11,0.569
"3",12,0.568
"4",13,0.567
"5",14,0.566
"6",15,0.565
"7",16,0.564
"8",17,0.563
"9",18,0.562
"10",19,0.561
"11",20,0.56
"12",21,0.557
"13",22,0.554
"14",23,0.551
"15",24,0.548
"16",25,0.545
"17",26,0.542
"18",27,0.539
"19",28,0.536
"20",29,0.533
"21",30,0.53
"22",31,0.531
"23",32,0.532
"24",33,0.533
"25",34,0.534
"26",35,0.535
"27",36,0.536
"28",37,0.537
"29",38,0.538
"30",39,0.539
"31",40,0.54
"32",41,0.552
"33",42,0.564
"34",43,0.576
"35",44,0.588
"36",45,0.6
"37",46,0.612
"38",47,0.624
"39",48,0.636
"40",49,0.648
"41",50,0.66
"42",51,0.657
"43",52,0.654
"44",53,0.651
"45",54,0.648
"46",55,0.645
"47",56,0.642
"48",57,0.639
"49",58,0.636
"50",59,0.633
"51",60,0.63
"52",61,0.631
"53",62,0.632
"54",63,0.633
"55",64,0.634
"56",65,0.635
"57",66,0.636
"58",67,0.637
"59",68,0.638
"60",69,0.639
"61",70,0.64
"62",71,0.642
"63",72,0.644
"64",73,0.646
"65",74,0.648
"66",75,0.65
"67",76,0.652
"68",77,0.654
"69",78,0.656
"70",79,0.658
"71",80,0.66
"72",81,0.646
"73",82,0.632
"74",83,0.618
"75",84,0.604
"76",85,0.59
"77",86,0.576
"78",87,0.562
"79",88,0.548
"80",89,0.534
"81",90,0.52
"82",91,0.521
"83",92,0.522
"84",93,0.523
"85",94,0.524
"86",95,0.525
"87",96,0.526
"88",97,0.527
"89",98,0.528
"90",99,0.529
"91",100,0.53
"92",101,0.532
"93",102,0.534
"94",103,0.536
"95",104,0.538
"96",105,0.54
"97",106,0.542
"98",107,0.544
"99",108,0.546
"100",109,0.548
"101",110,0.55
"102",111,0.54
"103",112,0.53
"104",113,0.52
"105",114,0.51
"106",115,0.5
"107",116,0.49
"108",117,0.48
"109",118,0.47
"110",119,0.46
"111",120,0.45
"112",121,0.447
"113",122,0.444
"114",123,0.441
"115",124,0.438
"116",125,0.435
"117",126,0.432
"118",127,0.429
"119",128,0.426
"120",129,0.423
"121",130,0.42
"122",131,0.416
"123",132,0.412
"124",133,0.408
"125",134,0.404
"126",135,0.4
"127",136,0.396
"128",137,0.392
"129",138,0.388
"130",139,0.384
"131",140,0.38
"132",141,0.376
"133",142,0.372
"134",143,0.368
"135",144,0.364
"136",145,0.36
"137",146,0.356
"138",147,0.352
"139",148,0.348
"140",149,0.344
"141",150,0.34
"142",151,0.333
"143",152,0.326
"144",153,0.319
"145",154,0.312
"146",155,0.305
"147",156,0.298
"148",157,0.291
"149",158,0.284
"150",159,0.277
"151",160,0.27
"152",161,0.275
"153",162,0.28
"154",163,0.285
"155",164,0.29
"156",165,0.295
"157",166,0.3
"158",167,0.305
"159",168,0.31
"160",169,0.315
"161",170,0.32
"162",171,0.312
"163",172,0.304
"164",173,0.296
"165",174,0.288
"166",175,0.28
"167",176,0.272
"168",177,0.264
"169",178,0.256
"170",179,0.248
"171",180,0.24
"172",181,0.237
"173",182,0.234
"174",183,0.231
"175",184,0.228
"176",185,0.225
"177",186,0.222
"178",187,0.219
"179",188,0.216
"180",189,0.213
"181",190,0.21
"182",191,0.212
"183",192,0.214
"184",193,0.216
"185",194,0.218
"186",195,0.22
"187",196,0.222
"188",197,0.224
"189",198,0.226
"190",199,0.228
"191",200,0.23
"192",201,0.231
"193",202,0.232
"194",203,0.233
"195",204,0.234
"196",205,0.235
"197",206,0.236
"198",207,0.237
"199",208,0.238
"200",209,0.239
"201",210,0.24
"202",211,0.234
"203",212,0.228
"204",213,0.222
"205",214,0.216
"206",215,0.21
"207",216,0.204
"208",217,0.198
"209",218,0.192
"210",219,0.186
"211",220,0.18
"212",221,0.178
"213",222,0.176
"214",223,0.174
"215",224,0.172
"216",225,0.17
"217",226,0.168
"218",227,0.166
"219",228,0.164
"220",229,0.162
"221",230,0.16
"222",231,0.161
"223",232,0.162
"224",233,0.163
"225",234,0.164
"226",235,0.165
"227",236,0.166
"228",237,0.167
"229",238,0.168
"230",239,0.169
"231",240,0.17
"232",241,0.167
"233",242,0.164
"234",243,0.161
"235",244,0.158
"236",245,0.155
"237",246,0.152
"238",247,0.149
"239",248,0.146
"240",249,0.143
"241",250,0.14
"242",251,0.139
"243",252,0.138
"244",253,0.137
"245",254,0.136
"246",255,0.135
"247",256,0.134
"248",257,0.133
"249",258,0.132
"250",259,0.131
"251",260,0.13
"252",261,0.135
"253",262,0.14
"254",263,0.145
"255",264,0.15
"256",265,0.155
"257",266,0.16
"258",267,0.165
"259",268,0.17
"260",269,0.175
"261",270,0.18
"262",271,0.172
"263",272,0.164
"264",273,0.156
